1580765250.046694089 1 www.gstatic.com www.gstatic.com 299
1580765250.174671459 1 sttlbb.com sttlbb.com 3599
1580765250.174671459 2 sttlbb.com sttlbb.com 3599
1580765250.174671459 3 sttlbb.com sttlbb.com 3599
1580765250.174671459 4 sttlbb.com sttlbb.com 3599
1580765250.326143501 1 accounts.google.com accounts.google.com 152
1580765253.870297037 1 www.minizuper.com stores.selz.com 3599
1580765253.870297037 2 stores.selz.com www.minizuper.com 299
1580765254.406313244 1 minizuper.com minizuper.com 3599
1580765255.013488113 1 fonts.googleapis.com fonts.googleapis.com 157
1580765255.020705214 1 selzstatic.com selzstatic.com 25
1580765255.020705214 2 selzstatic.com selzstatic.com 25
1580765255.020705214 3 selzstatic.com selzstatic.com 25
1580765255.020705214 4 selzstatic.com selzstatic.com 25
1580765255.025645651 1 stores.selzstatic.com stores.selzstatic.com 59
1580765255.025645651 2 stores.selzstatic.com stores.selzstatic.com 59
1580765255.025645651 3 stores.selzstatic.com stores.selzstatic.com 59
1580765255.025645651 4 stores.selzstatic.com stores.selzstatic.com 59
1580765255.036450514 1 img.selzstatic.com selz-img.imgix.net 21599
1580765255.036450514 2 selz-img.imgix.net dualstack.com.imgix.map.fastly.net 3151
1580765255.036450514 3 dualstack.com.imgix.map.fastly.net img.selzstatic.com 29
1580765255.101813881 1 fonts.gstatic.com gstaticadssl.l.google.com 159
1580765255.101813881 2 gstaticadssl.l.google.com fonts.gstatic.com 159
1580765255.174657225 1 cdn.polyfill.io dualstack.f3.shared.global.fastly.net 419
1580765255.174657225 2 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1580765255.174657225 3 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1580765255.174657225 4 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1580765255.174657225 5 dualstack.f3.shared.global.fastly.net cdn.polyfill.io 29
1580765255.488591613 1 cdn.shr.one g2.shared.global.fastly.net 21599
1580765255.488591613 2 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.488591613 3 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.488591613 4 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.488591613 5 g2.shared.global.fastly.net cdn.shr.one 29
1580765255.586084456 1 cdn.plyr.io dualstack.plyr.map.fastly.net 20562
1580765255.586084456 2 dualstack.plyr.map.fastly.net dualstack.plyr.map.fastly.net 29
1580765255.586084456 3 dualstack.plyr.map.fastly.net dualstack.plyr.map.fastly.net 29
1580765255.586084456 4 dualstack.plyr.map.fastly.net dualstack.plyr.map.fastly.net 29
1580765255.586084456 5 dualstack.plyr.map.fastly.net cdn.plyr.io 29
1580765255.587574812 1 cdn.rangetouch.com g2.shared.global.fastly.net 21383
1580765255.587574812 2 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.587574812 3 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.587574812 4 g2.shared.global.fastly.net g2.shared.global.fastly.net 29
1580765255.587574812 5 g2.shared.global.fastly.net cdn.rangetouch.com 29
1580765255.588062642 1 cdn.selzstatic.com cdn.selzstatic.com 59
1580765255.588062642 2 cdn.selzstatic.com cdn.selzstatic.com 59
1580765255.588062642 3 cdn.selzstatic.com cdn.selzstatic.com 59
1580765255.588062642 4 cdn.selzstatic.com cdn.selzstatic.com 59
1580765255.686865909 1 cdn.mxpnl.com cdn.mxpnl.com 21370
1580765255.686865909 2 cdn.mxpnl.com cdn.mxpnl.com 21370
1580765255.758623824 1 selz.com selz.com 267
1580765255.758623824 2 selz.com selz.com 267
1580765256.074683804 1 api-js.mixpanel.com api-js.mixpanel.com 3293
1580765256.074683804 2 api-js.mixpanel.com api-js.mixpanel.com 3293
1580765256.074683804 3 api-js.mixpanel.com api-js.mixpanel.com 3293
1580765256.074683804 4 api-js.mixpanel.com api-js.mixpanel.com 3293
1580765256.263957926 1 browser.sentry-cdn.com browser.sentry-cdn.com 19974
1580765256.263957926 2 browser.sentry-cdn.com browser.sentry-cdn.com 19974
1580765256.263957926 3 browser.sentry-cdn.com browser.sentry-cdn.com 19974
1580765256.263957926 4 browser.sentry-cdn.com browser.sentry-cdn.com 19974
1580765256.970853203 1 <Root> plfrhxmznzgi 86398
1580765256.971041684 1 <Root> fpcedjtzv 86363
1580765256.971066887 1 <Root> wgrgjws 86395
1580765257.064309029 1 js-agent.newrelic.com f4.shared.global.fastly.net 11069
1580765257.064309029 2 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1580765257.064309029 3 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1580765257.064309029 4 f4.shared.global.fastly.net f4.shared.global.fastly.net 29
1580765257.064309029 5 f4.shared.global.fastly.net js-agent.newrelic.com 29
1580765257.214375596 1 bam.nr-data.net bam.nr-data.net 21093
1580765257.214375596 2 bam.nr-data.net bam.nr-data.net 21093
1580765257.214375596 3 bam.nr-data.net bam.nr-data.net 21093
1580765257.214375596 4 bam.nr-data.net bam.nr-data.net 21093
1580765259.973993648 1 ssl.gstatic.com ssl.gstatic.com 39
1580765262.626746252 1 update.googleapis.com update.googleapis.com 299
