1579787619.466218200 1 swedbank.lt swedbank.lt 3599
1579787619.672293110 1 www.swedbank.lt www.swedbank.lt 3599
1579787619.867580706 1 ocsp.digicert.com cs9.wac.phicdn.net 19973
1579787619.867580706 2 cs9.wac.phicdn.net ocsp.digicert.com 3599
1579787623.852980282 1 dpm.demdex.net gslb-2.demdex.net 160
1579787623.852980282 2 gslb-2.demdex.net edge-irl1.demdex.net 899
1579787623.852980282 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 899
1579787623.852980282 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 39
1579787623.852980282 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dpm.demdex.net 39
1579787624.175200168 1 swedbankab.d3.sc.omtrdc.net swedbankab.d3.sc.omtrdc.net 299
1579787624.175200168 2 swedbankab.d3.sc.omtrdc.net swedbankab.d3.sc.omtrdc.net 299
1579787624.175200168 3 swedbankab.d3.sc.omtrdc.net swedbankab.d3.sc.omtrdc.net 299
1579787632.808266264 1 detectportal.firefox.com detectportal.prod.mozaws.net 54
1579787632.808266264 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 12
1579787632.808266264 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4309
1579787632.808266264 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579787632.808266264 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579787632.810620941 1 detectportal.firefox.com detectportal.prod.mozaws.net 5
1579787632.810620941 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 19
1579787632.810620941 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4981
1579787632.810620941 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579787632.810620941 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579787632.907064597 1 mozilla.org mozilla.org 19
1579787632.909917419 1 mozilla.org mozilla.org 11
1579787632.912910020 1 detectportal.firefox.com detectportal.prod.mozaws.net 59
1579787632.912910020 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 39
1579787632.912910020 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 4510
1579787632.912910020 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 11
1579787632.912910020 5 a1089.dscd.akamai.net detectportal.firefox.com 11
1579787632.922858082 1 location.services.mozilla.com prod.mozaws.net 50
1579787632.922858082 2 prod.mozaws.net location.services.mozilla.com 57
1579787632.922892523 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 50
1579787632.922892523 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 50
1579787632.922892523 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 50
1579787632.922892523 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 50
1579787632.923878567 1 mozilla.org mozilla.org 1786
1579787632.961392620 1 detectportal.firefox.com detectportal.prod.mozaws.net 54
1579787632.961392620 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 47
1579787632.961392620 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8056
1579787632.961392620 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579787632.961392620 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579787633.155671150 1 ocsp.digi
