1579671106.933299031 1 taleo.net taleo.net 264
1579671110.123772012 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 250
1579671110.123772012 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 250
1579671110.123857110 1 ubuntu.com connectivity-check.ubuntu.com 1255
1579671115.240447508 1 detectportal.firefox.com detectportal.prod.mozaws.net 46
1579671115.240447508 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 44
1579671115.240447508 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 3805
1579671115.240447508 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579671115.240447508 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579671115.255833510 1 detectportal.firefox.com detectportal.prod.mozaws.net 37
1579671115.255833510 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1579671115.255833510 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21221
1579671115.255833510 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579671115.255833510 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579671115.380183531 1 mozilla.org mozilla.org 35
1579671115.381905146 1 mozilla.org mozilla.org 48
1579671115.381934683 1 mozilla.org mozilla.org 1768
1579671115.406101409 1 detectportal.firefox.com detectportal.prod.mozaws.net 37
1579671115.406101409 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1579671115.406101409 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21221
1579671115.406101409 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579671115.406101409 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579671115.406683867 1 location.services.mozilla.com prod.mozaws.net 26
1579671115.406683867 2 prod.mozaws.net location.services.mozilla.com 27
1579671115.406711418 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 3
1579671115.406711418 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 3
1579671115.406711418 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 3
1579671115.406711418 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 3
1579671115.414457497 1 detectportal.firefox.com detectportal.prod.mozaws.net 37
1579671115.414457497 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 48
1579671115.414457497 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21221
1579671115.414457497 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579671115.414457497 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579671115.610954207 1 ocsp.digicert.com cs9.wac.phicdn.net 16083
1579671115.610954207 2 cs9.wac.phicdn.net ocsp.digicert.com 1988
1579671115.611013289 1 ocsp.digicert.com wac.phicdn.net 2512
1579671115.611013289 2 wac.phicdn.net ocsp.digicert.com 364
1579671116.180208160 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 5
1579671116.180208160 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579671116.180208160 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579671116.180208160 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579671116.180208160 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579671116.185130321 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 5
1579671116.185130321 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579671117.276400909 1 shavar.services.mozilla.com prod.mozaws.net 8
1579671117.276400909 2 prod.mozaws.net shavar.services.mozilla.com 71
1579671117.276470790 1 shavar.services.mozilla.com shavar.prod.mozaws.net 57
1579671117.276470790 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 58
1579671117.276470790 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 58
1579671117.276470790 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 58
1579671117.276470790 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 58
1579671117.276470790 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 58
1579671117.276470790 7 shavar.prod.mozaws.net shavar.prod
