1579638736.768474401 1 www.gstatic.com www.gstatic.com 299
1579638736.900527978 1 theguardian.com theguardian.com 1181
1579638736.900527978 2 theguardian.com theguardian.com 1181
1579638736.900527978 3 theguardian.com theguardian.com 1181
1579638736.900527978 4 theguardian.com theguardian.com 1181
1579638736.957356693 1 accounts.google.com accounts.google.com 299
1579638737.343585431 1 www.theguardian.com dualstack.guardian.map.fastly.net 2597
1579638737.343585431 2 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.343585431 3 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.343585431 4 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.343585431 5 dualstack.guardian.map.fastly.net www.theguardian.com 29
1579638737.550882385 1 assets.guim.co.uk dualstack.guardian.map.fastly.net 1996
1579638737.550882385 2 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.550882385 3 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.550882385 4 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.550882385 5 dualstack.guardian.map.fastly.net assets.guim.co.uk 29
1579638737.615425856 1 i.guim.co.uk dualstack.guardian.map.fastly.net 3350
1579638737.615425856 2 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.615425856 3 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.615425856 4 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 29
1579638737.615425856 5 dualstack.guardian.map.fastly.net i.guim.co.uk 29
1579638737.622969228 1 www.google-analytics.com www-google-analytics.l.google.com 21490
1579638737.622969228 2 www-google-analytics.l.google.com www.google-analytics.com 190
1579638737.644233785 1 api.nextgen.guardianapps.co.uk guardian.map.fastly.net 2928
1579638737.644233785 2 guardian.map.fastly.net guardian.map.fastly.net 5
1579638737.644233785 3 guardian.map.fastly.net guardian.map.fastly.net 5
1579638737.644233785 4 guardian.map.fastly.net guardian.map.fastly.net 5
1579638737.644233785 5 guardian.map.fastly.net api.nextgen.guardianapps.co.uk 5
1579638737.652037353 1 ophan.theguardian.com h.ophan.co.uk 573
1579638737.652037353 2 h.ophan.co.uk h.ophan.co.uk 30
1579638737.652037353 3 h.ophan.co.uk h.ophan.co.uk 30
1579638737.652037353 4 h.ophan.co.uk ophan.theguardian.com 30
1579638737.652393161 1 hits-secure.theguardian.com guardian.map.fastly.net 3429
1579638737.652393161 2 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.652393161 3 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.652393161 4 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.652393161 5 guardian.map.fastly.net hits-secure.theguardian.com 29
1579638737.656626679 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 994
1579638737.656626679 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 1588
1579638737.656626679 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 13
1579638737.663740246 1 j.ophan.co.uk guardian.map.fastly.net 3
1579638737.663740246 2 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.663740246 3 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.663740246 4 guardian.map.fastly.net guardian.map.fastly.net 29
1579638737.663740246 5 guardian.map.fastly.net j.ophan.co.uk 29
1579638737.675450170 1 phar.gu-web.net phar.gu-web.net 48
1579638737.675450170 2 phar.gu-web.net phar.gu-web.net 48
1579638737.675450170 3 phar.gu-web.net phar.gu-web.net 48
1579638737.682075514 1 interactive.guim.co.uk dualstack.guardian.map.fastly.net 2895
1579638737.682075514 2 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 2
1579638737.682075514 3 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 2
1579638737.682075514 4 dualstack.guardian.map.fastly.net dualstack.guardian.map.fastly.net 2
1579638737.682075514 5 dualstack.guardian.map.fastly.net interactive.guim.co.uk 2
1579638740.698592501 1 tags.crwdcntrl.net cs84.wac.edgecastcdn.net 7339
1579638740.698592501 2 cs84.wac.edgecastcdn.net tags.crwdcntrl.net 3152
1579638740.729708057 1 translate.googleapis.com translate.googleapis.com 299
1579638740.999542703 1 stats.g.doubleclick.net stats.l.doubleclick.net 21378
1579638740.999542703 2 stats.l.doubleclick.net stats.l.doubleclick.net 78
1579638740.999542703 3 stats.l.doubleclick.net stats.l.doubleclick.net 78
1579638740.999542703 4 stats.l.doubleclick.net stats.l.doubleclick.net 78
1579638740.999542703 5 stats.l.doubleclick.net stats.g.doubleclick.net 78
1579638741.168885261 1 support.theguardian.com guardian.map.fastly.net 3497
1579638741.168885261 2 guardian.map.fastly.net guardian.map.fastly.net 29
1579638741.168885261 3 guardian.map.fastly.net guardian.map.fastly.net 29
1579638741.168885261 4 guardian.map.fastly.net guardian.map.fastly.net 29
1579638741.168885261 5 guardian.map.fastly.net support.theguardian.com 29
1579638741.179753882 1 ad.crwdcntrl.net ad.crwdcntrl.net 59
1579638741.179753882 2 ad.crwdcntrl.net ad.crwdcntrl.net 59
1579638741.193613171 1 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579638741.193613171 2 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579638741.193613171 3 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579638741.193613171 4 confiant-integrations.global.ssl.fastly.net confiant-integrations.global.ssl.fastly.net 29
1579638741.195860944 1 www.googletagservices.com pagead46.l.doubleclick.net 21599
1579638741.195860944 2 pagead46.l.doubleclick.net www.googletagservices.com 299
1579638741.453265074 1 www.google.com www.google.com 299
1579638741.470613392 1 secure-dcr.imrworldwide.com secure-us.imrworldwide.com 899
1579638741.470613392 2 secure-us.imrworldwide.com secure-origin.imrworldwide.com 3599
1579638741.470613392 3 secure-origin.imrworldwide.com secure-eu-west-1.imrworldwide.com 299
1579638741.470613392 4 secure-eu-west-1.imrworldwide.com census.eu-west-1.nielsencollections.com 299
1579638741.470613392 5 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 6 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 7 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 8 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 9 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 10 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 11 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 11
1579638741.470613392 12 census.eu-west-1.nielsencollections.com secure-dcr.imrworldwide.com 11
1579638741.476403628 1 secure-au.imrworldwide.com secure-proxy.imrworldwide.com 867
1579638741.476403628 2 secure-proxy.imrworldwide.com secure-origin.imrworldwide.com 299
1579638741.476403628 3 secure-origin.imrworldwide.com secure-eu-west-1.imrworldwide.com 299
1579638741.476403628 4 secure-eu-west-1.imrworldwide.com census.eu-west-1.nielsencollections.com 299
1579638741.476403628 5 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 6 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 7 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 8 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 9 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 10 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 11 census.eu-west-1.nielsencollections.com census.eu-west-1.nielsencollections.com 36
1579638741.476403628 12 census.eu-west-1.nielsencollections.com secure-au.imrworldwide.com 36
1579638741.543056684 1 clients1.google.com clients.l.google.com 299
