1579717505.359771602 1 www.gstatic.com www.gstatic.com 129
1579717505.452320893 1 tubidy.mobi tubidy.mobi 284
1579717505.452320893 2 tubidy.mobi tubidy.mobi 284
1579717505.534939969 1 accounts.google.com accounts.google.com 299
1579717506.210181384 1 consent.cmp.oath.com cs550162656.adn.psicdn.net 1147
1579717506.210181384 2 cs550162656.adn.psicdn.net consent.cmp.oath.com 3217
1579717506.222307802 1 tubidy.net tubidy.net 199
1579717506.222307802 2 tubidy.net tubidy.net 199
1579717506.470674448 1 choogeet.net choogeet.net 201
1579717506.470674448 2 choogeet.net choogeet.net 201
1579717506.713931862 1 jsc.mgid.com jsc.mgid.com 282
1579717506.713931862 2 jsc.mgid.com jsc.mgid.com 282
1579717506.713931862 3 jsc.mgid.com jsc.mgid.com 282
1579717506.713931862 4 jsc.mgid.com jsc.mgid.com 282
1579717506.713931862 5 jsc.mgid.com jsc.mgid.com 282
1579717507.076851224 1 translate.googleapis.com translate.googleapis.com 299
1579717507.223201727 1 my.rtmark.net my.rtmark.net 299
1579717507.223201727 2 my.rtmark.net my.rtmark.net 299
1579717507.223201727 3 my.rtmark.net my.rtmark.net 299
1579717507.223201727 4 my.rtmark.net my.rtmark.net 299
1579717507.223201727 5 my.rtmark.net my.rtmark.net 299
1579717507.444359247 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1579717507.444359247 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579717507.450530623 1 service.cmp.oath.com cs550162656.adn.psicdn.net 974
1579717507.450530623 2 cs550162656.adn.psicdn.net service.cmp.oath.com 3599
1579717507.504669264 1 servicer.mgid.com servicer.mgid.com 133
1579717507.504669264 2 servicer.mgid.com servicer.mgid.com 133
1579717507.504669264 3 servicer.mgid.com servicer.mgid.com 133
1579717507.504669264 4 servicer.mgid.com servicer.mgid.com 133
1579717507.504669264 5 servicer.mgid.com servicer.mgid.com 133
1579717507.703041069 1 cm.steepto.com cm.steepto.com 205
1579717507.703041069 2 cm.steepto.com cm.steepto.com 205
1579717507.703041069 3 cm.steepto.com cm.steepto.com 205
1579717507.703041069 4 cm.steepto.com cm.steepto.com 205
1579717507.703041069 5 cm.steepto.com cm.steepto.com 205
1579717507.791920930 1 cdn.steepto.com cdn.steepto.com 201
1579717507.791920930 2 cdn.steepto.com cdn.steepto.com 201
1579717507.791920930 3 cdn.steepto.com cdn.steepto.com 201
1579717507.791920930 4 cdn.steepto.com cdn.steepto.com 201
1579717507.791920930 5 cdn.steepto.com cdn.steepto.com 201
1579717507.793752124 1 s-img.steepto.com s-img.steepto.com 176
1579717507.793752124 2 s-img.steepto.com s-img.steepto.com 176
1579717507.793752124 3 s-img.steepto.com s-img.steepto.com 176
1579717507.793752124 4 s-img.steepto.com s-img.steepto.com 176
1579717507.793752124 5 s-img.steepto.com s-img.steepto.com 176
1579717507.820108324 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 2700
1579717507.820108324 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 2934
1579717507.820108324 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1579717507.983482205 1 match.adsrvr.org match-1943069928.eu-west-1.elb.amazonaws.com 8375
1579717507.983482205 2 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 3 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 4 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 5 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 6 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 7 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 8 match-1943069928.eu-west-1.elb.amazonaws.com match-1943069928.eu-west-1.elb.amazonaws.com 25
1579717507.983482205 9 match-1943069928.eu-west-1.elb.amazonaws.com match.adsrvr.org 25
1579717508.196530784 1 cm.mgid.com cm.mgid.com 190
1579717508.196530784 2 cm.mgid.com cm.mgid.com 190
1579717508.196530784 3 cm.mgid.com cm.mgid.com 190
1579717508.196530784 4 cm.mgid.com cm.mgid.com 190
1579717508.196530784 5 cm.mgid.com cm.mgid.com 190
1579717512.213635764 1 <Root> zughalds 86391
1579717512.214182942 1 <Root> wwbnqaeszhsa 86394
1579717512.215825893 1 <Root> ksmlgwsxglqoif 86397
1579717515.623257847 1 update.googleapis.com update.googleapis.com 299
1579717517.274394729 1 ssl.gstatic.com ssl.gstatic.com 291
1579717517.327185880 1 sendmepush.com sendmepush.com 128
1579717517.327185880 2 sendmepush.com sendmepush.com 128
