1580745810.255043237 1 unimelb.edu.au unimelb.edu.au 10971
1580745810.305771294 1 detectportal.firefox.com detectportal.prod.mozaws.net 16
1580745810.305771294 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 27
1580745810.305771294 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20736
1580745810.305771294 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 11
1580745810.305771294 5 a1089.dscd.akamai.net detectportal.firefox.com 11
1580745810.314634547 1 detectportal.firefox.com detectportal.prod.mozaws.net 50
1580745810.314634547 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 23
1580745810.314634547 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18359
1580745810.314634547 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745810.314634547 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745810.437181218 1 mozilla.org mozilla.org 16
1580745810.439193693 1 mozilla.org mozilla.org 15
1580745810.439236497 1 mozilla.org mozilla.org 1745
1580745810.467462615 1 detectportal.firefox.com detectportal.prod.mozaws.net 46
1580745810.467462615 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 34
1580745810.467462615 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 17218
1580745810.467462615 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745810.467462615 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745810.467824442 1 detectportal.firefox.com detectportal.prod.mozaws.net 16
1580745810.467824442 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 27
1580745810.467824442 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20736
1580745810.467824442 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745810.467824442 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745810.552179229 1 content-signature-2.cdn.mozilla.net d2nxq2uap88usk.cloudfront.net 3475
1580745810.552179229 2 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.552179229 3 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.552179229 4 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.552179229 5 d2nxq2uap88usk.cloudfront.net content-signature-2.cdn.mozilla.net 59
1580745810.557391975 1 content-signature-2.cdn.mozilla.net d2nxq2uap88usk.cloudfront.net 3526
1580745810.557391975 2 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 3 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 4 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 5 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 6 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 7 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 8 d2nxq2uap88usk.cloudfront.net d2nxq2uap88usk.cloudfront.net 59
1580745810.557391975 9 d2nxq2uap88usk.cloudfront.net content-signature-2.cdn.mozilla.net 59
1580745812.274613612 1 fonts.googleapis.com fonts.googleapis.com 246
1580745812.276743051 1 d2glwx35mhbfwf.cloudfront.net d2glwx35mhbfwf.cloudfront.net 59
1580745812.276743051 2 d2glwx35mhbfwf.cloudfront.net d2glwx35mhbfwf.cloudfront.net 59
1580745812.276743051 3 d2glwx35mhbfwf.cloudfront.net d2glwx35mhbfwf.cloudfront.net 59
1580745812.276743051 4 d2glwx35mhbfwf.cloudfront.net d2glwx35mhbfwf.cloudfront.net 59
