1579670659.194371800 1 www.gstatic.com www.gstatic.com 299
1579670659.349978077 1 usatoday.com usatoday.com 1167
1579670659.481091174 1 accounts.google.com accounts.google.com 299
1579670659.839830840 1 www.usatoday.com domains.gannett.map.fastly.net 3064
1579670659.839830840 2 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670659.839830840 3 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670659.839830840 4 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670659.839830840 5 domains.gannett.map.fastly.net www.usatoday.com 29
1579670660.084463866 1 eu.usatoday.com domains.gannett.map.fastly.net 904
1579670660.084463866 2 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.084463866 3 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.084463866 4 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.084463866 5 domains.gannett.map.fastly.net eu.usatoday.com 29
1579670660.258290566 1 cpt-static.gannettdigital.com domains.gannett.map.fastly.net 19455
1579670660.258290566 2 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.258290566 3 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.258290566 4 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.258290566 5 domains.gannett.map.fastly.net cpt-static.gannettdigital.com 29
1579670660.269257915 1 www.gannett-cdn.com domains.gannett.map.fastly.net 441
1579670660.269257915 2 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.269257915 3 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.269257915 4 domains.gannett.map.fastly.net domains.gannett.map.fastly.net 29
1579670660.269257915 5 domains.gannett.map.fastly.net www.gannett-cdn.com 29
1579670660.568675840 1 translate.googleapis.com translate.googleapis.com 299
1579670666.103962122 1 <Root> hfbbcrsfncbja 86325
1579670666.105471163 1 <Root> pogwijnw 86398
1579670666.108818929 1 <Root> swvqpbdmb 86386
1579670671.505548394 1 update.googleapis.com update.googleapis.com 299
1579670671.517089343 1 ssl.gstatic.com ssl.gstatic.com 299
