1579664893.910847737 1 www.gstatic.com www.gstatic.com 299
1579664894.024167282 1 varzesh3.com varzesh3.com 3599
1579664894.024167282 2 varzesh3.com varzesh3.com 3599
1579664894.127170955 1 accounts.google.com accounts.google.com 125
1579664894.502493011 1 www.varzesh3.com www.varzesh3.com 3220
1579664894.502493011 2 www.varzesh3.com www.varzesh3.com 3220
1579664895.224735019 1 static.farakav.com static.farakav.com 2397
1579664895.224735019 2 static.farakav.com static.farakav.com 2397
1579664895.224735019 3 static.farakav.com static.farakav.com 2397
1579664895.224735019 4 static.farakav.com static.farakav.com 2397
1579664895.224735019 5 static.farakav.com static.farakav.com 2397
1579664895.224735019 6 static.farakav.com static.farakav.com 2397
1579664895.240936908 1 www.googletagmanager.com www-googletagmanager.l.google.com 21502
1579664895.240936908 2 www-googletagmanager.l.google.com www.googletagmanager.com 202
1579664895.941756724 1 www.google-analytics.com www-google-analytics.l.google.com 21503
1579664895.941756724 2 www-google-analytics.l.google.com www.google-analytics.com 203
1579664895.942373090 1 s1.mediaad.org s1.mediaad.org 34
1579664895.942373090 2 s1.mediaad.org s1.mediaad.org 34
1579664895.943025649 1 static-cdn.adro.ir static-cdn.adro.ir 134
1579664895.943025649 2 static-cdn.adro.ir static-cdn.adro.ir 134
1579664895.944072757 1 cdn.yektanet.com cdn.yektanet.com 292
1579664895.944072757 2 cdn.yektanet.com cdn.yektanet.com 292
1579664896.626873257 1 api-ads.farakav.com api-ads.farakav.com 481
1579664898.574762828 1 ads.farakav.com ads.farakav.com 3424
1579664898.574762828 2 ads.farakav.com ads.farakav.com 3424
1579664898.584017437 1 static.hotjar.com static.hotjar.com.c.section.io 3234
1579664898.584017437 2 static.hotjar.com.c.section.io map16-100.s.section.io 63
1579664898.584017437 3 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 4 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 5 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 6 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 7 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 8 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 9 map16-100.s.section.io map16-100.s.section.io 60
1579664898.584017437 10 map16-100.s.section.io static.hotjar.com 60
1579664898.609415573 1 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579664898.609415573 2 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579664898.609415573 3 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579664898.609415573 4 certify-js.alexametrics.com certify-js.alexametrics.com 59
1579664898.617121361 1 bfetch.yektanet.com bfetch.yektanet.com 299
1579664899.558717814 1 ws.farakav.com ws.farakav.com 1176
1579664899.605726213 1 clients1.google.com clients.l.google.com 299
1579664899.605726213 2 clients.l.google.com clients1.google.com 299
1579664899.965950432 1 translate.googleapis.com translate.googleapis.com 22
1579664899.980257317 1 venom.farakav.com venom.farakav.com 256
1579664900.707267285 1 mostatil.yektanet.com mostatil.yektanet.com 295
1579664900.707267285 2 mostatil.yektanet.com mostatil.yektanet.com 295
1579664900.848034925 1 <Root> unpuckglzlk 86347
1579664900.848797610 1 <Root> fkchdhzxq 86323
1579664900.849056923 1 <Root> jphpswsiqaqct 86397
1579664900.986565458 1 script.hotjar.com script.hotjar.com.c.section.io 449
1579664900.986565458 2 script.hotjar.com.c.section.io map16-100.s.section.io 52
1579664900.986565458 3 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 4 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 5 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 6 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 7 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 8 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 9 map16-100.s.section.io map16-100.s.section.io 14
1579664900.986565458 10 map16-100.s.section.io script.hotjar.com 14
1579664901.007123928 1 certify.alexametrics.com certify.alexametrics.com 59
1579664901.007123928 2 certify.alexametrics.com certify.alexametrics.com 59
1579664901.007123928 3 certify.alexametrics.com certify.alexametrics.com 59
1579664901.007123928 4 certify.alexametrics.com certify.alexametrics.com 59
1579664901.120089374 1 vars.hotjar.com vars.hotjar.com.c.section.io 2029
1579664901.120089374 2 vars.hotjar.com.c.section.io map16-100.s.section.io 208
1579664901.120089374 3 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 4 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 5 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 6 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 7 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 8 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 9 map16-100.s.section.io map16-100.s.section.io 119
1579664901.120089374 10 map16-100.s.section.io vars.hotjar.com 119
1579664901.514018655 1 in.hotjar.com in.hotjar.com 36
1579664901.514018655 2 in.hotjar.com in.hotjar.com 36
1579664901.514018655 3 in.hotjar.com in.hotjar.com 36
1579664901.514018655 4 in.hotjar.com in.hotjar.com 36
1579664901.514018655 5 in.hotjar.com in.hotjar.com 36
1579664901.514018655 6 in.hotjar.com in.hotjar.com 36
1579664901.514018655 7 in.hotjar.com in.hotjar.com 36
1579664901.514018655 8 in.hotjar.com in.hotjar.com 36
1579664901.547628110 1 vc.hotjar.io vc.hotjar.io.c.section.io 3408
1579664901.547628110 2 vc.hotjar.io.c.section.io map16.e.section.io 268
1579664901.547628110 3 map16.e.section.io map16.e.section.io 119
1579664901.547628110 4 map16.e.section.io map16.e.section.io 119
1579664901.547628110 5 map16.e.section.io map16.e.section.io 119
1579664901.547628110 6 map16.e.section.io map16.e.section.io 119
