1579647353.385288709 1 www.gstatic.com www.gstatic.com 87
1579647353.538316685 1 vice.com vice.com 59
1579647353.538316685 2 vice.com vice.com 59
1579647353.575310752 1 accounts.google.com accounts.google.com 299
1579647353.925636439 1 www.vice.com http2.vice.map.fastly.net 3318
1579647353.925636439 2 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647353.925636439 3 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647353.925636439 4 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647353.925636439 5 http2.vice.map.fastly.net www.vice.com 29
1579647354.266847622 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1579647354.266847622 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579647354.268430561 1 vice-web-statics-cdn.vice.com http2.vice.map.fastly.net 2731
1579647354.268430561 2 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.268430561 3 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.268430561 4 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.268430561 5 http2.vice.map.fastly.net vice-web-statics-cdn.vice.com 29
1579647354.374979865 1 secure.adnxs.com g.geogslb.com 15861
1579647354.374979865 2 g.geogslb.com ib.anycast.adnxs.com 10752
1579647354.374979865 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 150
1579647354.374979865 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 150
1579647354.374979865 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 150
1579647354.374979865 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 150
1579647354.374979865 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 150
1579647354.374979865 8 ib.anycast.adnxs.com secure.adnxs.com 150
1579647354.389167450 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 1588
1579647354.389167450 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1579647354.395435067 1 native.sharethrough.com native.sharethrough.com 59
1579647354.395435067 2 native.sharethrough.com native.sharethrough.com 59
1579647354.395435067 3 native.sharethrough.com native.sharethrough.com 59
1579647354.395435067 4 native.sharethrough.com native.sharethrough.com 59
1579647354.442687248 1 api.amplitude.com api.amplitude.com 29
1579647354.442687248 2 api.amplitude.com api.amplitude.com 29
1579647354.442687248 3 api.amplitude.com api.amplitude.com 29
1579647354.442687248 4 api.amplitude.com api.amplitude.com 29
1579647354.442687248 5 api.amplitude.com api.amplitude.com 29
1579647354.442687248 6 api.amplitude.com api.amplitude.com 29
1579647354.442687248 7 api.amplitude.com api.amplitude.com 29
1579647354.442687248 8 api.amplitude.com api.amplitude.com 29
1579647354.465562778 1 gum.criteo.com gum.par.vip.prod.criteo.com 299
1579647354.465562778 2 gum.par.vip.prod.criteo.com gum.criteo.com 299
1579647354.469312662 1 mid.rkdms.com mid.rkdms.com 59
1579647354.469312662 2 mid.rkdms.com mid.rkdms.com 59
1579647354.469312662 3 mid.rkdms.com mid.rkdms.com 59
1579647354.469312662 4 mid.rkdms.com mid.rkdms.com 59
1579647354.509294201 1 sharethrough.adnxs.com ib.adnxs.com 2
1579647354.509294201 2 ib.adnxs.com g.geogslb.com 8422
1579647354.509294201 3 g.geogslb.com ib.anycast.adnxs.com 10799
1579647354.509294201 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 10 ib.anycast.adnxs.com ib.anycast.adnxs.com 44
1579647354.509294201 11 ib.anycast.adnxs.com sharethrough.adnxs.com 44
1579647354.560406122 1 sourcepoint.mgr.consensu.org sourcepoint.mgr.consensu.org 20
1579647354.560406122 2 sourcepoint.mgr.consensu.org sourcepoint.mgr.consensu.org 20
1579647354.560406122 3 sourcepoint.mgr.consensu.org sourcepoint.mgr.consensu.org 20
1579647354.560406122 4 sourcepoint.mgr.consensu.org sourcepoint.mgr.consensu.org 20
1579647354.570029931 1 vice-sundry-assets-cdn.vice.com http2.vice.map.fastly.net 292
1579647354.570029931 2 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.570029931 3 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.570029931 4 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647354.570029931 5 http2.vice.map.fastly.net vice-sundry-assets-cdn.vice.com 29
1579647354.674790071 1 www.googletagmanager.com www-googletagmanager.l.google.com 21569
1579647354.674790071 2 www-googletagmanager.l.google.com www.googletagmanager.com 269
1579647354.871229110 1 www.google-analytics.com www-google-analytics.l.google.com 21342
1579647354.871229110 2 www-google-analytics.l.google.com www.google-analytics.com 252
1579647357.648725892 1 clients1.google.com clients.l.google.com 299
1579647357.648725892 2 clients.l.google.com clients1.google.com 299
1579647357.663265553 1 sdk.snapkit.com d3ooo1p4f5sse3.cloudfront.net 30
1579647357.663265553 2 d3ooo1p4f5sse3.cloudfront.net d3ooo1p4f5sse3.cloudfront.net 59
1579647357.663265553 3 d3ooo1p4f5sse3.cloudfront.net d3ooo1p4f5sse3.cloudfront.net 59
1579647357.663265553 4 d3ooo1p4f5sse3.cloudfront.net d3ooo1p4f5sse3.cloudfront.net 59
1579647357.663265553 5 d3ooo1p4f5sse3.cloudfront.net sdk.snapkit.com 59
1579647357.664247189 1 vice-useast.gscontxt.net vice-useast.gscontxt.net 29
1579647357.664247189 2 vice-useast.gscontxt.net vice-useast.gscontxt.net 29
1579647357.669169975 1 video-images.vice.com http2.vice.map.fastly.net 3453
1579647357.669169975 2 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647357.669169975 3 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
1579647357.669169975 4 http2.vice.map.fastly.net http2.vice.map.fastly.net 29
