1580614332.763288922 1 www.gstatic.com www.gstatic.com 299
1580614333.018607167 1 watch2gether.com watch2gether.com 299
1580614333.018607167 2 watch2gether.com watch2gether.com 299
1580614333.068088634 1 accounts.google.com accounts.google.com 111
1580614336.580007441 1 www.watch2gether.com www.watch2gether.com 319
1580614336.580007441 2 www.watch2gether.com www.watch2gether.com 319
1580614337.007996348 1 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580614337.007996348 2 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580614337.007996348 3 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580614337.007996348 4 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580614337.014533365 1 w2g-mtrx.watch2gether.com w2g-mtrx.watch2gether.com 191
1580614337.549109460 1 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1580614337.549109460 2 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1580614337.549109460 3 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1580614337.549109460 4 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 59
1580614337.819637641 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 3545
1580614337.819637641 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580614337.819637641 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580614337.819637641 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580614337.819637641 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1580614337.988792803 1 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 26
1580614337.988792803 2 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 26
1580614337.988792803 3 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 26
1580614337.988792803 4 api.quantcast.mgr.consensu.org api.quantcast.mgr.consensu.org 26
1580614338.616009531 1 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 26
1580614338.616009531 2 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 26
1580614338.616009531 3 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 26
1580614338.616009531 4 audit.quantcast.mgr.consensu.org audit.quantcast.mgr.consensu.org 26
1580614339.703946895 1 <Root> rwpajlx 86331
1580614339.704398915 1 <Root> upawzbtl 86328
1580614339.704690641 1 <Root> zephciyg 86389
1580614342.701821044 1 update.googleapis.com update.googleapis.com 291
1580614342.725940755 1 ssl.gstatic.com ssl.gstatic.com 299
