1580745348.755651749 1 webaula.com.br webaula.com.br 1563
1580745349.041700623 1 fonts.googleapis.com fonts.googleapis.com 174
1580745349.246421058 1 fonts.gstatic.com gstaticadssl.l.google.com 189
1580745349.246421058 2 gstaticadssl.l.google.com fonts.gstatic.com 189
1580745357.154515680 1 detectportal.firefox.com detectportal.prod.mozaws.net 31
1580745357.154515680 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 43
1580745357.154515680 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18812
1580745357.154515680 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745357.154515680 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745357.157476528 1 detectportal.firefox.com detectportal.prod.mozaws.net 31
1580745357.157476528 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 43
1580745357.157476528 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18812
1580745357.157476528 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745357.157476528 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745357.279514817 1 mozilla.org mozilla.org 19
1580745357.283851169 1 mozilla.org mozilla.org 40
1580745357.295356311 1 location.services.mozilla.com prod.mozaws.net 49
1580745357.295356311 2 prod.mozaws.net location.services.mozilla.com 224
1580745357.303769311 1 mozilla.org mozilla.org 1771
1580745357.310891714 1 detectportal.firefox.com detectportal.prod.mozaws.net 56
1580745357.310891714 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 45
1580745357.310891714 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21189
1580745357.310891714 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745357.310891714 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745357.312954340 1 detectportal.firefox.com detectportal.prod.mozaws.net 31
1580745357.312954340 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 55
1580745357.312954340 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 18545
1580745357.312954340 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580745357.312954340 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580745357.314916961 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 27
1580745357.314916961 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 34
1580745357.314916961 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 34
1580745357.314916961 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 34
1580745357.533563628 1 ocsp.digicert.com cs9.wac.phicdn.net 14886
1580745357.533563628 2 cs9.wac.phicdn.net ocsp.digicert.com 2355
1580745357.552621195 1 ocsp.digicert.com wac.phicdn.net 14800
1580745357.552621195 2 wac.phicdn.net ocsp.digicert.com 424
1580745358.087189469 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 17
1580745358.087189469 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745358.087189469 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745358.087189469 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580745358.087189469 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580745358.087851581 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 17
1580745358.087851581 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580745359.093822753 1 push.services.mozilla.com prod.mozaws.net 35
1580745359.093822753 2 prod.mozaws.net push.services.mozilla.com 277
1580745359.093861112 1 push.services.mozilla.com autopush.prod.mozaws.net 41
1580745359.093861112 2 autopush.prod.mozaws.net push.services.mozilla.com 41
1580745359.117018300 1 push.services.mozilla.com prod.mozaws.net 27
1580745359.117018300 2 prod.mozaws.net push.services.mozilla.com 83
1580745359.118020483 1 push.services.mozilla.com autopush.prod.mozaws.net 21
1580745359.118020483 2 autopush.prod.mozaws.net push.services.mozilla.com 21
1580745359.122393351 1 shavar.services.mozilla.com shavar.prod.m
