1580651394.569086908 1 www.gstatic.com www.gstatic.com 299
1580651394.729327307 1 womenshealthmag.com womenshealthmag.com 0
1580651394.729327307 2 womenshealthmag.com womenshealthmag.com 0
1580651394.729327307 3 womenshealthmag.com womenshealthmag.com 0
1580651394.729327307 4 womenshealthmag.com womenshealthmag.com 0
1580651394.757267394 1 accounts.google.com accounts.google.com 299
1580651395.084570424 1 www.womenshealthmag.com hearst-hdm.map.fastly.net 47
1580651395.084570424 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.084570424 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.084570424 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.084570424 5 hearst-hdm.map.fastly.net www.womenshealthmag.com 29
1580651395.340489621 1 assets.hearstapps.com hearst-hdm.map.fastly.net 22
1580651395.340489621 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.340489621 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.340489621 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.340489621 5 hearst-hdm.map.fastly.net assets.hearstapps.com 29
1580651395.342809594 1 hips.hearstapps.com hearst-hdm.map.fastly.net 31
1580651395.342809594 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.342809594 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.342809594 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.342809594 5 hearst-hdm.map.fastly.net hips.hearstapps.com 29
1580651395.386307973 1 nexus.ensighten.com nexus.ensighten.com 119
1580651395.474507983 1 glimmer.hearstapps.com hearst-hdm.map.fastly.net 34
1580651395.474507983 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.474507983 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.474507983 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580651395.474507983 5 hearst-hdm.map.fastly.net glimmer.hearstapps.com 29
1580651396.257657904 1 c.evidon.com wildcard.evidon.com.edgekey.net 478
1580651396.257657904 2 wildcard.evidon.com.edgekey.net e12841.d.akamaiedge.net 10544
1580651396.257657904 3 e12841.d.akamaiedge.net c.evidon.com 19
1580651396.316348316 1 translate.googleapis.com translate.googleapis.com 205
1580651397.219831690 1 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580651397.219831690 2 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580651397.219831690 3 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580651397.219831690 4 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580651397.318766949 1 l.betrad.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 425
1580651397.318766949 2 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 3 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 4 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 5 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 6 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 7 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 8 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 50
1580651397.318766949 9 privacycollector-production-457481513.us-east-1.elb.amazonaws.com l.betrad.com 50
1580651397.325058407 1 iabmap.evidon.com d2pw3r8ecoh3h0.cloudfront.net 209
1580651397.325058407 2 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1580651397.325058407 3 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1580651397.325058407 4 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1580651397.325058407 5 d2pw3r8ecoh3h0.cloudfront.net iabmap.evidon.com 59
1580651399.593859716 1 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 2 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 3 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 4 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 5 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 6 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 7 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.593859716 8 srv-2020-02-02-13.pixel.parsely.com srv-2020-02-02-13.pixel.parsely.com 59
1580651399.599884440 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 2368
1580651399.599884440 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580651399.599884440 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580651399.599884440 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1580651399.599884440 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1580651399.706613833 1 evidon.mgr.consensu.org evidon.mgr.consensu.org 836
1580651399.706613833 2 evidon.mgr.consensu.org evidon.mgr.consensu.org 836
1580651399.706613833 3 evidon.mgr.consensu.org evidon.mgr.consensu.org 836
1580651399.802812596 1 www.google-analytics.com www-google-analytics.l.google.com 21411
1580651399.802812596 2 www-google-analytics.l.google.com www.google-analytics.com 111
1580651399.925778273 1 ampcid.google.com ampcid.google.com 299
1580651400.065717655 1 ampcid.google.es ampcid.google.es 110
1580651401.511556154 1 <Root> qixvjgvpthqnppo 86377
1580651401.511626467 1 <Root> otcukfuv 86397
1580651401.511926910 1 <Root> bdidyrsntubde 86387
1580651406.261618809 1 update.googleapis.com update.googleapis.com 299
1580651406.284769221 1 ssl.gstatic.com ssl.gstatic.com 299
