1580617623.860671195 1 www.gstatic.com www.gstatic.com 209
1580617624.011922581 1 worldpopulationreview.com worldpopulationreview.com 4
1580617624.063195524 1 accounts.google.com accounts.google.com 299
1580617627.468730345 1 stackpath.bootstrapcdn.com cds.j3z9t3p6.hwcdn.net 99
1580617627.468730345 2 cds.j3z9t3p6.hwcdn.net stackpath.bootstrapcdn.com 245
1580617627.490483918 1 pagead2.googlesyndication.com pagead46.l.doubleclick.net 299
1580617627.490483918 2 pagead46.l.doubleclick.net pagead2.googlesyndication.com 299
1580617627.491267990 1 www.googletagservices.com pagead46.l.doubleclick.net 21599
1580617627.491267990 2 pagead46.l.doubleclick.net www.googletagservices.com 299
1580617627.496626441 1 dsh7ky7308k4b.cloudfront.net dsh7ky7308k4b.cloudfront.net 59
1580617627.496626441 2 dsh7ky7308k4b.cloudfront.net dsh7ky7308k4b.cloudfront.net 59
1580617627.496626441 3 dsh7ky7308k4b.cloudfront.net dsh7ky7308k4b.cloudfront.net 59
1580617627.496626441 4 dsh7ky7308k4b.cloudfront.net dsh7ky7308k4b.cloudfront.net 59
1580617627.618861577 1 s3.amazonaws.com s3-1.amazonaws.com 718
1580617627.618861577 2 s3-1.amazonaws.com s3.amazonaws.com 4
1580617627.626529250 1 pubgalaxy-com.videoplayerhub.com d5ssgc0nf5vml.cloudfront.net 3254
1580617627.626529250 2 d5ssgc0nf5vml.cloudfront.net d5ssgc0nf5vml.cloudfront.net 59
1580617627.626529250 3 d5ssgc0nf5vml.cloudfront.net d5ssgc0nf5vml.cloudfront.net 59
1580617627.626529250 4 d5ssgc0nf5vml.cloudfront.net d5ssgc0nf5vml.cloudfront.net 59
1580617627.626529250 5 d5ssgc0nf5vml.cloudfront.net pubgalaxy-com.videoplayerhub.com 59
1580617627.644669542 1 adservice.google.es pagead46.l.doubleclick.net 89
1580617627.644669542 2 pagead46.l.doubleclick.net adservice.google.es 152
1580617627.648485916 1 adservice.google.com pagead46.l.doubleclick.net 89
1580617627.648485916 2 pagead46.l.doubleclick.net adservice.google.com 89
1580617628.145605021 1 fastlane.rubiconproject.com optimized-by.rubiconproject.net.akadns.net 231
1580617628.145605021 2 optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
1580617628.145605021 3 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
1580617628.145605021 4 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
1580617628.145605021 5 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
1580617628.145605021 6 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
1580617628.145605021 7 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 362
