1580754059.745116845 1 www.gstatic.com www.gstatic.com 266
1580754059.897492561 1 wpolityce.pl wpolityce.pl 2329
1580754059.942446346 1 accounts.google.com accounts.google.com 212
1580754063.601378683 1 static.wpolityce.pl static.wpolityce.pl 1419
1580754063.705669421 1 media.wplm.pl wplm.pl 1876
1580754063.705669421 2 wplm.pl media.wplm.pl 1876
1580754063.707942783 1 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754063.707942783 2 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754063.707942783 3 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754063.707942783 4 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754063.707942783 5 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754063.707942783 6 gapl.hit.gemius.pl gapl.hit.gemius.pl 316
1580754064.183001387 1 static-pl.plista.com static-origin.plista.com 1581
1580754064.183001387 2 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 3 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 4 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 5 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 6 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 7 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 8 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 9 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 10 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 11 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 12 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 13 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 14 static-origin.plista.com static-origin.plista.com 681
1580754064.183001387 15 static-origin.plista.com static-pl.plista.com 681
1580754064.184805453 1 netdna.bootstrapcdn.com cds.j3z9t3p6.hwcdn.net 41
1580754064.184805453 2 cds.j3z9t3p6.hwcdn.net netdna.bootstrapcdn.com 71
1580754064.300850919 1 connect.facebook.net scontent.xx.fbcdn.net 617
1580754064.300850919 2 scontent.xx.fbcdn.net connect.facebook.net 38
1580754064.305540475 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 265
1580754064.305540475 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 265
1580754064.326301950 1 static.wpolsce.pl wpolsce.pl 1247
1580754064.326301950 2 wpolsce.pl static.wpolsce.pl 1247
1580754064.327910862 1 lib.wtg-ads.com lib.wtg-ads.com 28
1580754064.327910862 2 lib.wtg-ads.com lib.wtg-ads.com 28
1580754064.339402223 1 clients1.google.com clients.l.google.com 299
1580754064.339402223 2 clients.l.google.com clients1.google.com 299
1580754064.419833024 1 translate.googleapis.com translate.googleapis.com 299
1580754064.503968749 1 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 2 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 3 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 4 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 5 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 6 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 7 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 8 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 9 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.503968749 10 ls.hit.gemius.pl ls.hit.gemius.pl 748
1580754064.937986839 1 www.facebook.com star-mini.c10r.facebook.com 181
1580754064.937986839 2 star-mini.c10r.facebook.com www.facebook.com 46
1580754065.083248724 1 farm-pl.plista.com farm-hetzner.plista.com 1083
1580754065.083248724 2 farm-hetzner.plista.com farm-hetzner.plista.com 1083
1580754065.083248724 3 farm-hetzner.plista.com farm-hetzner.plista.com 1083
1580754065.083248724 4 farm-hetzner.plista.com farm-hetzner.plista.com 1083
1580754065.083248724 5 farm-hetzner.plista.com farm-hetzner.plista.com 1083
1580754065.083248724 6 farm-hetzner.plista.com farm-pl.plista.com 1083
