1579809425.300947514 1 www.gstatic.com www.gstatic.com 73
1579809425.449642049 1 www.bankinter.com www.bankinter.com 2660
1579809425.449642049 2 www.bankinter.com www.bankinter.com 2660
1579809425.574623558 1 ocsp.entrust.net ocsp.entrust.net.edgekey.net 576
1579809425.574623558 2 ocsp.entrust.net.edgekey.net e6913.dscx.akamaiedge.net 53
1579809425.574623558 3 e6913.dscx.akamaiedge.net ocsp.entrust.net 19
1579809425.589270328 1 accounts.google.com accounts.google.com 299
1579809429.869348817 1 bancaonline.bankinter.com bancaonline.bankinter.com 663
1579809429.869348817 2 bancaonline.bankinter.com bancaonline.bankinter.com 663
1579809430.013282548 1 www.googletagmanager.com www-googletagmanager.l.google.com 21566
1579809430.013282548 2 www-googletagmanager.l.google.com www.googletagmanager.com 266
1579809430.014546238 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579809430.014546238 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579809430.608488032 1 static.hotjar.com static.hotjar.com.c.section.io 142
1579809430.608488032 2 static.hotjar.com.c.section.io map16-100.s.section.io 137
1579809430.608488032 3 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 4 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 5 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 6 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 7 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 8 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 9 map16-100.s.section.io map16-100.s.section.io 76
1579809430.608488032 10 map16-100.s.section.io static.hotjar.com 76
1579809430.615080452 1 api.ipify.org nagano-19599.herokussl.com 2155
1579809430.615080452 2 nagano-19599.herokussl.com elb097307-934924932.us-east-1.elb.amazonaws.com 2983
1579809430.615080452 3 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 4 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 5 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 6 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 7 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 8 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 9 elb097307-934924932.us-east-1.elb.amazonaws.com elb097307-934924932.us-east-1.elb.amazonaws.com 34
1579809430.615080452 10 elb097307-934924932.us-east-1.elb.amazonaws.com api.ipify.org 34
1579809430.859556692 1 script.hotjar.com script.hotjar.com.c.section.io 3598
1579809430.859556692 2 script.hotjar.com.c.section.io map16-100.s.section.io 83
1579809430.859556692 3 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 4 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 5 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 6 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 7 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 8 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 9 map16-100.s.section.io map16-100.s.section.io 119
1579809430.859556692 10 map16-100.s.section.io script.hotjar.com 119
1579809430.883688063 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579809430.883688063 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579809430.883688063 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579809430.883688063 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579809430.883688063 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579809430.925371635 1 vars.hotjar.com vars.hotjar.com.c.section.io 631
1579809430.925371635 2 vars.hotjar.com.c.section.io map16-100.s.section.io 106
1579809430.925371635 3 map16-100.s.section.io map16-100.s.section.io 119
1579809430.925371635 4 map16-100.s.section.io map16-100.s.section.io 119
1579809430.925371635 5 map16-100.s.section.io map16-100.s.section.io 119
1579809430.925371635 6 map16-100.s.section.io map16-100.s.section.io 119
1579809430.925371635 7 map16-100.s.section.io map16-100.s.section.io 119
