1580793552.648036259 1 www.bing.com a-0001.a-afdentry.net.trafficmanager.net 249
1580793552.648036259 2 a-0001.a-afdentry.net.trafficmanager.net dual-a-0001.a-msedge.net 59
1580793552.648036259 3 dual-a-0001.a-msedge.net dual-a-0001.a-msedge.net 41
1580793552.648036259 4 dual-a-0001.a-msedge.net www.bing.com 41
1580793561.370115954 1 detectportal.firefox.com detectportal.prod.mozaws.net 43
1580793561.370115954 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 53
1580793561.370115954 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 20367
1580793561.370115954 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580793561.370115954 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580793561.371234157 1 detectportal.firefox.com detectportal.prod.mozaws.net 26
1580793561.371234157 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 20
1580793561.371234157 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12657
1580793561.371234157 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580793561.371234157 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580793561.477705956 1 mozilla.org mozilla.org 51
1580793561.480875859 1 mozilla.org mozilla.org 9
1580793561.493680510 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 35
1580793561.493680510 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 39
1580793561.493680510 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 39
1580793561.493680510 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 39
1580793561.493719033 1 location.services.mozilla.com prod.mozaws.net 42
1580793561.493719033 2 prod.mozaws.net location.services.mozilla.com 226
1580793561.509322726 1 detectportal.firefox.com detectportal.prod.mozaws.net 35
1580793561.509322726 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 34
1580793561.509322726 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 21090
1580793561.509322726 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580793561.509322726 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580793561.509747252 1 detectportal.firefox.com detectportal.prod.mozaws.net 30
1580793561.509747252 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 55
1580793561.509747252 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 16244
1580793561.509747252 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580793561.509747252 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580793561.510059554 1 mozilla.org mozilla.org 1799
1580793561.696539564 1 ocsp.digicert.com cs9.wac.phicdn.net 16683
1580793561.696539564 2 cs9.wac.phicdn.net ocsp.digicert.com 2675
1580793561.716241662 1 ocsp.digicert.com wac.phicdn.net 14405
1580793561.716241662 2 wac.phicdn.net ocsp.digicert.com 438
1580793562.228969701 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 19
1580793562.228969701 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 42
1580793562.258782693 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 26
1580793562.258782693 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580793562.258782693 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580793562.258782693 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580793562.258782693 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580793563.222333836 1 shavar.services.mozilla.com shavar.prod.mozaws.net 45
1580793563.222333836 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 22
1580793563.222333836 
