1579811694.255327102 1 www.gstatic.com www.gstatic.com 299
1579811694.435566525 1 www.diezminutos.es hearst-uk.map.fastly.net 7
1579811694.435566525 2 hearst-uk.map.fastly.net hearst-uk.map.fastly.net 29
1579811694.435566525 3 hearst-uk.map.fastly.net hearst-uk.map.fastly.net 29
1579811694.435566525 4 hearst-uk.map.fastly.net hearst-uk.map.fastly.net 29
1579811694.435566525 5 hearst-uk.map.fastly.net www.diezminutos.es 29
1579811694.486903575 1 accounts.google.com accounts.google.com 299
1579811698.341364903 1 assets.hearstapps.com hearst-hdm.map.fastly.net 11
1579811698.341364903 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.341364903 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.341364903 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.341364903 5 hearst-hdm.map.fastly.net assets.hearstapps.com 29
1579811698.346307789 1 hips.hearstapps.com hearst-hdm.map.fastly.net 49
1579811698.346307789 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.346307789 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.346307789 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1579811698.346307789 5 hearst-hdm.map.fastly.net hips.hearstapps.com 29
1579811698.373412360 1 nexus.ensighten.com nexus.ensighten.com 119
1579811698.813097189 1 c.evidon.com wildcard.evidon.com.edgekey.net 455
1579811698.813097189 2 wildcard.evidon.com.edgekey.net e12841.d.akamaiedge.net 6166
1579811698.813097189 3 e12841.d.akamaiedge.net c.evidon.com 19
1579811698.854598592 1 fonts.gstatic.com gstaticadssl.l.google.com 171
1579811698.854598592 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1579811699.354443918 1 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579811699.354443918 2 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579811699.354443918 3 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579811699.354443918 4 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1579811699.442136156 1 l.betrad.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 1410
1579811699.442136156 2 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 3 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 4 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 5 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 6 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 7 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 8 privacycollector-production-457481513.us-east-1.elb.amazonaws.com privacycollector-production-457481513.us-east-1.elb.amazonaws.com 31
1579811699.442136156 9 privacycollector-production-457481513.us-east-1.elb.amazonaws.com l.betrad.com 31
1579811699.467142142 1 iabmap.evidon.com d2pw3r8ecoh3h0.cloudfront.net 289
1579811699.467142142 2 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579811699.467142142 3 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579811699.467142142 4 d2pw3r8ecoh3h0.cloudfront.net d2pw3r8ecoh3h0.cloudfront.net 59
1579811699.467142142 5 d2pw3r8ecoh3h0.cloudfront.net iabmap.evidon.com 59
1579811699.604998373 1 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 2 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 3 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 4 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 5 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 6 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 7 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.604998373 8 srv-2020-01-23-20.pixel.parsely.com srv-2020-01-23-20.pixel.parsely.com 25
1579811699.739358544 1 vendorlist.consensu.org dzp5etodm9s0j.cloudfront.net 3493
1579811699.739358544 2 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579811699.739358544 3 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579811699.739358544 4 dzp5etodm9s0j.cloudfront.net dzp5etodm9s0j.cloudfront.net 59
1579811699.739358544 5 dzp5etodm9s0j.cloudfront.net vendorlist.consensu.org 59
1579811699.800508627 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579811699.800508627 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579811699.874018092 1 evidon.mgr.consensu.org evidon.mgr.consensu.org 323
1579811699.874018092 2 evidon.mgr.consensu.org evidon.mgr.consensu.org 323
1579811699.874018092 3 evidon.mgr.consensu.org evidon.mgr.consensu.org 323
1579811699.939590280 1 ampcid.google.com ampcid.google.com 299
1579811700.059837869 1 ampcid.google.es ampcid.google.es 299
1579811701.198882162 1 <Root> letnobgt 86390
1579811701.199345159 1 <Root> ebrozciyqorc 86389
1579811701.199674004 1 <Root> xwnjzhk 86381
1579811705.196635810 1 update.googleapis.com update.googleapis.com 299
1579811705.216595049 1 ssl.gstatic.com ssl.gstatic.com 299
