1580796503.446743100 1 www.gstatic.com www.gstatic.com 299
1580796503.606477467 1 www.elle.es www.elle.es.global.prod.fastly.net 59
1580796503.606477467 2 www.elle.es.global.prod.fastly.net www.elle.es.global.prod.fastly.net 29
1580796503.606477467 3 www.elle.es.global.prod.fastly.net www.elle.es.global.prod.fastly.net 29
1580796503.606477467 4 www.elle.es.global.prod.fastly.net www.elle.es.global.prod.fastly.net 29
1580796503.606477467 5 www.elle.es.global.prod.fastly.net www.elle.es 29
1580796503.630751628 1 accounts.google.com accounts.google.com 172
1580796507.225327116 1 www.elle.com hearst-hdm.map.fastly.net 120
1580796507.225327116 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.225327116 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.225327116 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.225327116 5 hearst-hdm.map.fastly.net www.elle.com 29
1580796507.434357073 1 assets.hearstapps.com hearst-hdm.map.fastly.net 8
1580796507.434357073 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.434357073 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.434357073 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.434357073 5 hearst-hdm.map.fastly.net assets.hearstapps.com 29
1580796507.439786729 1 hips.hearstapps.com hearst-hdm.map.fastly.net 40
1580796507.439786729 2 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.439786729 3 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.439786729 4 hearst-hdm.map.fastly.net hearst-hdm.map.fastly.net 29
1580796507.439786729 5 hearst-hdm.map.fastly.net hips.hearstapps.com 29
1580796507.465611009 1 nexus.ensighten.com nexus.ensighten.com 119
1580796508.082539435 1 c.evidon.com wildcard.evidon.com.edgekey.net 383
1580796508.082539435 2 wildcard.evidon.com.edgekey.net e12841.d.akamaiedge.net 2745
1580796508.082539435 3 e12841.d.akamaiedge.net c.evidon.com 19
1580796508.565740344 1 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580796508.565740344 2 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580796508.565740344 3 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580796508.565740344 4 d1z2jf7jlzjs58.cloudfront.net d1z2jf7jlzjs58.cloudfront.net 59
1580796508.767491397 1 iabmap.evidon.com d2pw3r8ecoh3h0.cloudfront.net 190
