1580799769.503056759 1 www.kutxabank.com www.kutxabank.com.edgesuite.net 21565
1580799769.503056759 2 www.kutxabank.com.edgesuite.net a1989.r.akamai.net 21565
1580799769.503056759 3 a1989.r.akamai.net a1989.r.akamai.net 19
1580799769.503056759 4 a1989.r.akamai.net www.kutxabank.com 19
1580799777.814139238 1 detectportal.firefox.com detectportal.prod.mozaws.net 32
1580799777.814139238 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 10
1580799777.814139238 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14484
1580799777.814139238 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580799777.814139238 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580799777.815299996 1 detectportal.firefox.com detectportal.prod.mozaws.net 24
1580799777.815299996 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 6
1580799777.815299996 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9105
1580799777.815299996 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580799777.815299996 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580799777.909042859 1 mozilla.org mozilla.org 11
1580799777.910463198 1 mozilla.org mozilla.org 41
1580799777.936607258 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 44
1580799777.936607258 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 44
1580799777.936607258 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 44
1580799777.936607258 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 44
1580799777.936659008 1 location.services.mozilla.com prod.mozaws.net 58
1580799777.936659008 2 prod.mozaws.net location.services.mozilla.com 60
1580799777.943573963 1 detectportal.firefox.com detectportal.prod.mozaws.net 13
1580799777.943573963 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 42
1580799777.943573963 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15030
1580799777.943573963 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580799777.943573963 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580799777.943610614 1 detectportal.firefox.com detectportal.prod.mozaws.net 57
1580799777.943610614 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 24
1580799777.943610614 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 12452
1580799777.943610614 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580799777.943610614 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580799777.951582843 1 mozilla.org mozilla.org 1799
1580799778.105853794 1 ocsp.digicert.com wac.phicdn.net 9732
1580799778.105853794 2 wac.phicdn.net ocsp.digicert.com 253
1580799778.106032091 1 ocsp.digicert.com cs9.wac.phicdn.net 6339
1580799778.106032091 2 cs9.wac.phicdn.net ocsp.digicert.com 3550
1580799778.614520264 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 19
1580799778.614520264 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 37
1580799778.641118044 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 33
1580799778.641118044 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580799778.641118044 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580799778.641118044 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580799778.641118044 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580799779.762918305 1 shavar.services.mozilla.com shavar.prod.mozaws.net 46
1580799779.762918305 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 7 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 8 shavar.prod.mozaws.net shavar.prod.mozaws.net 43
1580799779.762918305 9 shavar.prod.mozaws.net shavar
