1579816040.545733588 1 www.gstatic.com www.gstatic.com 291
1579816040.720474503 1 www.lacaixa.es cs316.adn.1c111.chicdn.net 267
1579816040.720474503 2 cs316.adn.1c111.chicdn.net cs316243.adn.chicdn.net 3567
1579816040.720474503 3 cs316243.adn.chicdn.net www.lacaixa.es 3599
1579816040.852821995 1 accounts.google.com accounts.google.com 299
1579816044.526058068 1 www.caixabank.es cs316.adn.1c111.chicdn.net 299
1579816044.526058068 2 cs316.adn.1c111.chicdn.net cs316243.adn.chicdn.net 3599
1579816044.526058068 3 cs316243.adn.chicdn.net www.caixabank.es 3599
1579816044.802468230 1 tags.tiqcdn.com cs2005.wpc.alphacdn.net 299
1579816044.802468230 2 cs2005.wpc.alphacdn.net tags.tiqcdn.com 1744
1579816045.642939305 1 dpm.demdex.net gslb-2.demdex.net 297
1579816045.642939305 2 gslb-2.demdex.net edge-irl1.demdex.net 897
1579816045.642939305 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 897
1579816045.642939305 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 28
1579816045.642939305 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dpm.demdex.net 28
1579816046.068285317 1 caixa.demdex.net gslb-2.demdex.net 223
1579816046.068285317 2 gslb-2.demdex.net edge-irl1.demdex.net 899
1579816046.068285317 3 edge-irl1.demdex.net dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 899
1579816046.068285317 4 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 5 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 6 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 7 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 8 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 9 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 10 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com 7
1579816046.068285317 11 dcs-edge-irl1-876252164.eu-west-1.elb.amazonaws.com caixa.demdex.net 7
1579816046.088866594 1 metrics.caixabank.es caixabank.es.ssl.sc.omtrdc.net 1143
1579816046.088866594 2 caixabank.es.ssl.sc.omtrdc.net caixabank.es.ssl.sc.omtrdc.net 265
1579816046.088866594 3 caixabank.es.ssl.sc.omtrdc.net caixabank.es.ssl.sc.omtrdc.net 265
1579816046.088866594 4 caixabank.es.ssl.sc.omtrdc.net metrics.caixabank.es 265
1579816046.104445092 1 cm.everesttech.net cm.everesttech.net.akadns.net 249
1579816046.104445092 2 cm.everesttech.net.akadns.net cm.everesttech.net 299
1579816047.477749247 1 <Root> jmdzhcdxxoehzc 86371
1579816047.478160640 1 <Root> mcmwgxll 86389
1579816047.479114663 1 <Root> muqwdeax 86387
1579816051.188098502 1 update.googleapis.com update.googleapis.com 285
1579816051.231451560 1 ssl.gstatic.com ssl.gstatic.com 286
