1580801604.587379877 1 www.mercadona.es www.mercadona.es 2077
1580801604.700456083 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1580801604.700456083 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1580801605.074111505 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1580801605.074111505 2 www-google-analytics.l.google.com www.google-analytics.com 299
1580801612.972692721 1 detectportal.firefox.com detectportal.prod.mozaws.net 6
1580801612.972692721 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 45
1580801612.972692721 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15337
1580801612.972692721 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580801612.972692721 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580801612.973885701 1 detectportal.firefox.com detectportal.prod.mozaws.net 48
1580801612.973885701 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 33
1580801612.973885701 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 8193
1580801612.973885701 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580801612.973885701 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580801613.089780882 1 mozilla.org mozilla.org 37
1580801613.093047404 1 mozilla.org mozilla.org 1745
1580801613.093105577 1 mozilla.org mozilla.org 43
1580801613.124657750 1 detectportal.firefox.com detectportal.prod.mozaws.net 5
1580801613.124657750 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 44
1580801613.124657750 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 15336
1580801613.124657750 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580801613.124657750 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580801613.125866936 1 detectportal.firefox.com detectportal.prod.mozaws.net 42
1580801613.125866936 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 44
1580801613.125866936 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 14319
1580801613.125866936 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580801613.125866936 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580801613.131021548 1 location.services.mozilla.com prod.mozaws.net 23
1580801613.131021548 2 prod.mozaws.net location.services.mozilla.com 151
1580801613.131897761 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 2
1580801613.131897761 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 15
1580801613.131897761 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 15
1580801613.131897761 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 15
1580801613.284997473 1 ocsp.digicert.com cs9.wac.phicdn.net 7131
1580801613.284997473 2 cs9.wac.phicdn.net ocsp.digicert.com 877
1580801613.285025613 1 ocsp.digicert.com wac.phicdn.net 6354
1580801613.285025613 2 wac.phicdn.net ocsp.digicert.com 389
1580801613.837660494 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 40
1580801613.837660494 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 41
1580801613.864946129 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 49
1580801613.864946129 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580801613.864946129 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580801613.864946129 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580801613.864946129 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580801614.884078680 1 shavar.services.mozilla.com shavar.prod.mozaws.net 18
1580801614.884078680 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 39
1580801614.884078680 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 39
1580801614.884078680 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 39
1580801614.884078680 5 shavar.prod.mozaws.net shavar.prod.mozaws.net 39
1580801614.884078680 6 shavar.prod.mozaws.net shavar.prod.mozaws.net 39
1580801614.884078680 7 shavar.prod.mozaws.net shavar.services.mozilla.com 
