1580802423.550683459 1 www.gstatic.com www.gstatic.com 206
1580802423.760701222 1 www.nationalgeographic.com.es caching.rba.edge2befaster.com 119
1580802423.760701222 2 caching.rba.edge2befaster.com cec01.esc.edgetcdn.com 270
1580802423.760701222 3 cec01.esc.edgetcdn.com cec01.esc.edgetcdn.com 270
1580802423.760701222 4 cec01.esc.edgetcdn.com www.nationalgeographic.com.es 270
1580802423.828264796 1 accounts.google.com accounts.google.com 198
1580802427.535158644 1 cdn.knightlab.com cdn.knightlab.com 174
1580802427.535158644 2 cdn.knightlab.com cdn.knightlab.com 174
1580802427.542728357 1 static.rba.nom.es static.rba.nom.es 249
1580802427.542728357 2 static.rba.nom.es static.rba.nom.es 249
1580802427.545123682 1 content.nationalgeographic.com.es caching.rba.edge2befaster.com 32
1580802427.545123682 2 caching.rba.edge2befaster.com cec01.esc.edgetcdn.com 299
1580802427.545123682 3 cec01.esc.edgetcdn.com cec01.esc.edgetcdn.com 299
1580802427.545123682 4 cec01.esc.edgetcdn.com content.nationalgeographic.com.es 299
1580802427.556046080 1 fonts.googleapis.com fonts.googleapis.com 299
1580802427.640804947 1 cdn.elasticad.net de5zarwna0j2q.cloudfront.net 49
1580802427.640804947 2 de5zarwna0j2q.cloudfront.net de5zarwna0j2q.cloudfront.net 24
1580802427.640804947 3 de5zarwna0j2q.cloudfront.net de5zarwna0j2q.cloudfront.net 24
1580802427.640804947 4 de5zarwna0j2q.cloudfront.net de5zarwna0j2q.cloudfront.net 24
1580802427.640804947 5 de5zarwna0j2q.cloudfront.net cdn.elasticad.net 24
1580802427.664025511 1 fonts.gstatic.com gstaticadssl.l.google.com 299
1580802427.664025511 2 gstaticadssl.l.google.com fonts.gstatic.com 299
1580802427.690239668 1 cdnjs.cloudflare.com cdnjs.cloudflare.com 203
1580802427.690239668 2 cdnjs.cloudflare.com cdnjs.cloudflare.com 203
1580802428.343939391 1 d2lcoyv3ods5zz.cloudfront.net d2lcoyv3ods5zz.cloudfront.net 59
1580802428.343939391 2 d2lcoyv3ods5zz.cloudfront.net d2lcoyv3ods5zz.cloudfront.net 59
1580802428.343939391 3 d2lcoyv3ods5zz.cloudfront.net d2lcoyv3ods5zz.cloudfront.net 59
1580802428.343939391 4 d2lcoyv3ods5zz.cloudfront.net d2lcoyv3ods5zz.cloudfront.net 59
1580802428.472044158 1 clients1.google.com clients.l.google.com 299
1580802428.472044158 2 clients.l.google.com clients1.google.com 299
1580802429.033671761 1 ib.adnxs.com g.geogslb.com 17722
1580802429.033671761 2 g.geogslb.com ib.anycast.adnxs.com 10783
1580802429.033671761 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 8 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 9 ib.anycast.adnxs.com ib.anycast.adnxs.com 143
1580802429.033671761 10 ib.anycast.adnxs.com ib.adnxs.com 143
1580802429.064577297 1 ad2.360yield.com ice.360yield.com 299
1580802429.064577297 2 ice.360yield.com eu2-ice.360yield.com 59
1580802429.064577297 3 eu2-ice.360yield.com eu2-ice.360yield.com 59
