1580805776.529142711 1 www.simply.es www.simply.es 299
1580805785.393201511 1 detectportal.firefox.com detectportal.prod.mozaws.net 44
1580805785.393201511 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 10
1580805785.393201511 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9026
1580805785.393201511 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 7
1580805785.393201511 5 a1089.dscd.akamai.net detectportal.firefox.com 7
1580805785.393241525 1 detectportal.firefox.com detectportal.prod.mozaws.net 51
1580805785.393241525 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 17
1580805785.393241525 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9033
1580805785.393241525 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580805785.393241525 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580805785.560362458 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 36
1580805785.560362458 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 58
1580805785.560362458 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 58
1580805785.560362458 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 58
1580805785.560400644 1 location.services.mozilla.com prod.mozaws.net 36
1580805785.560400644 2 prod.mozaws.net location.services.mozilla.com 189
1580805785.578184460 1 mozilla.org mozilla.org 55
1580805785.582150372 1 mozilla.org mozilla.org 1790
1580805785.582456090 1 mozilla.org mozilla.org 23
1580805785.605754708 1 detectportal.firefox.com detectportal.prod.mozaws.net 40
1580805785.605754708 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 6
1580805785.605754708 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 9022
1580805785.605754708 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 3
1580805785.605754708 5 a1089.dscd.akamai.net detectportal.firefox.com 3
1580805785.611469065 1 detectportal.firefox.com detectportal.prod.mozaws.net 40
1580805785.611469065 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 39
1580805785.611469065 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 6011
1580805785.611469065 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1580805785.611469065 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1580805785.739542315 1 ocsp.digicert.com wac.phicdn.net 3649
1580805785.739542315 2 wac.phicdn.net ocsp.digicert.com 376
1580805785.739572101 1 ocsp.digicert.com cs9.wac.phicdn.net 5582
1580805785.739572101 2 cs9.wac.phicdn.net ocsp.digicert.com 2831
1580805786.279127533 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 44
1580805786.279127533 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580805786.279127533 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580805786.279127533 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1580805786.279127533 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580805786.282898807 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 17
1580805786.282898807 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1580805787.304431123 1 push.services.mozilla.com autopush.prod.mozaws.net 18
1580805787.304431123 2 autopush.prod.mozaws.net push.services.mozilla.com 29
1580805787.304482466 1 push.services.mozilla.com prod.mozaws.net 38
1580805787.304482466 2 prod.mozaws.net push.services.mozilla.com 219
1580805787.323569356 1 push.services.mozilla.com prod.mozaws.net 36
1580805787.323569356 2 prod.mozaws.net push.services.mozilla.com 111
1580805787.323796730 1 push.services.mozilla.com autopush.prod.mozaws.net 59
1580805787.323796730 2 autopush.prod.mozaws.net push.services.mozilla.com 59
1580805787.349554839 1 shavar.services.mozilla.com shavar.prod.mozaws.net 56
1580805787.349554839 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 52
1580805787.349554839 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 52
1580805787.349554839 4 shavar.prod.mozaws.net shavar.prod.mozaws.ne
