1579822753.438305852 1 www.gstatic.com www.gstatic.com 299
1579822753.522953992 1 www.stackoverflow.com stackoverflow.com 3083
1579822753.522953992 2 stackoverflow.com stackoverflow.com 3381
1579822753.522953992 3 stackoverflow.com stackoverflow.com 3381
1579822753.522953992 4 stackoverflow.com stackoverflow.com 3381
1579822753.522953992 5 stackoverflow.com www.stackoverflow.com 3381
1579822753.700831604 1 accounts.google.com accounts.google.com 299
1579822754.114081408 1 stackoverflow.com stackoverflow.com 2181
1579822754.114081408 2 stackoverflow.com stackoverflow.com 2181
1579822754.114081408 3 stackoverflow.com stackoverflow.com 2181
1579822754.114081408 4 stackoverflow.com stackoverflow.com 2181
1579822754.445883949 1 cdn.sstatic.net cdn.sstatic.net 592
1579822754.445883949 2 cdn.sstatic.net cdn.sstatic.net 592
1579822754.445883949 3 cdn.sstatic.net cdn.sstatic.net 592
1579822754.445883949 4 cdn.sstatic.net cdn.sstatic.net 592
1579822754.456595152 1 ajax.googleapis.com ajax.googleapis.com 205
1579822755.395030209 1 www.google-analytics.com www-google-analytics.l.google.com 21451
1579822755.395030209 2 www-google-analytics.l.google.com www.google-analytics.com 151
1579822755.423432583 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 10648
1579822755.423432583 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 10567
1579822755.423432583 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1579822755.428995987 1 secure.quantserve.com 2kpixel.quantserve.com 299
1579822755.428995987 2 2kpixel.quantserve.com global.px.quantserve.com 299
1579822755.428995987 3 global.px.quantserve.com pixel-euc102-lighttpd.pixel.quantserve.net 59
1579822755.428995987 4 pixel-euc102-lighttpd.pixel.quantserve.net internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 175
1579822755.428995987 5 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 6 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 7 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 8 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 9 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 10 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 11 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 46
1579822755.428995987 12 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com secure.quantserve.com 46
1579822755.560097909 1 translate.googleapis.com translate.googleapis.com 299
1579822755.769245014 1 rules.quantcount.com d2fashanjl7d9f.cloudfront.net 12916
1579822755.769245014 2 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1579822755.769245014 3 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1579822755.769245014 4 d2fashanjl7d9f.cloudfront.net d2fashanjl7d9f.cloudfront.net 59
1579822755.769245014 5 d2fashanjl7d9f.cloudfront.net rules.quantcount.com 59
1579822756.010166119 1 pixel.quantserve.com global.px.quantserve.com 195
1579822756.010166119 2 global.px.quantserve.com pixel-euc102-lighttpd.pixel.quantserve.net 59
1579822756.010166119 3 pixel-euc102-lighttpd.pixel.quantserve.net internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 223
1579822756.010166119 4 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 5 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 6 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 7 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 8 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 9 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 10 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com 1
1579822756.010166119 11 internal-pixel-euc102-lighttpd-elb-1608001443.eu-central-1.elb.amazonaws.com pixel.quantserve.com 1
1579822760.364987035 1 <Root> lpfveth 86358
1579822760.365359414 1 <Root> bpbbthu 86383
1579822760.365607895 1 <Root> suhxgrhvcmza 86388
1579822763.367879835 1 ssl.gstatic.com ssl.gstatic.com 19
1579822769.270050770 1 update.googleapis.com update.googleapis.com 299
