1579703807.148559311 1 xianjichina.com xianjichina.com 564
1579703810.121669008 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 506
1579703810.121669008 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 506
1579703810.121729162 1 ubuntu.com connectivity-check.ubuntu.com 937
1579703813.121313050 1 daisy.ubuntu.com daisy.ubuntu.com 512
1579703813.121313050 2 daisy.ubuntu.com daisy.ubuntu.com 512
1579703813.121464095 1 ubuntu.com daisy.ubuntu.com 1797
1579703815.208940730 1 detectportal.firefox.com detectportal.prod.mozaws.net 1
1579703815.208940730 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 31
1579703815.208940730 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 16719
1579703815.208940730 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 6
1579703815.208940730 5 a1089.dscd.akamai.net detectportal.firefox.com 6
1579703815.239049051 1 detectportal.firefox.com detectportal.prod.mozaws.net 3
1579703815.239049051 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 56
1579703815.239049051 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 17604
1579703815.239049051 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579703815.239049051 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579703815.351286519 1 mozilla.org mozilla.org 58
1579703815.352566969 1 mozilla.org mozilla.org 45
1579703815.352585451 1 mozilla.org mozilla.org 1777
1579703815.362903288 1 location.services.mozilla.com locprod1-elb-eu-west-1.prod.mozaws.net 14
1579703815.362903288 2 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 14
1579703815.362903288 3 locprod1-elb-eu-west-1.prod.mozaws.net locprod1-elb-eu-west-1.prod.mozaws.net 14
1579703815.362903288 4 locprod1-elb-eu-west-1.prod.mozaws.net location.services.mozilla.com 14
1579703815.362931811 1 location.services.mozilla.com prod.mozaws.net 45
1579703815.362931811 2 prod.mozaws.net location.services.mozilla.com 57
1579703815.383498023 1 detectportal.firefox.com detectportal.prod.mozaws.net 48
1579703815.383498023 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 42
1579703815.383498023 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 10116
1579703815.383498023 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579703815.383498023 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579703815.401077806 1 detectportal.firefox.com detectportal.prod.mozaws.net 34
1579703815.401077806 2 detectportal.prod.mozaws.net detectportal.firefox.com-v2.edgesuite.net 47
1579703815.401077806 3 detectportal.firefox.com-v2.edgesuite.net a1089.dscd.akamai.net 16904
1579703815.401077806 4 a1089.dscd.akamai.net a1089.dscd.akamai.net 19
1579703815.401077806 5 a1089.dscd.akamai.net detectportal.firefox.com 19
1579703815.573811706 1 ocsp.digicert.com cs9.wac.phicdn.net 16412
1579703815.573811706 2 cs9.wac.phicdn.net ocsp.digicert.com 3448
1579703815.600371566 1 ocsp.digicert.com wac.phicdn.net 16411
1579703815.600371566 2 wac.phicdn.net ocsp.digicert.com 599
1579703816.153972948 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 24
1579703816.153972948 2 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579703816.153972948 3 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579703816.153972948 4 d228z91au11ukj.cloudfront.net d228z91au11ukj.cloudfront.net 59
1579703816.153972948 5 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579703816.154934880 1 snippets.cdn.mozilla.net d228z91au11ukj.cloudfront.net 54
1579703816.154934880 2 d228z91au11ukj.cloudfront.net snippets.cdn.mozilla.net 59
1579703817.212123557 1 shavar.services.mozilla.com prod.mozaws.net 25
1579703817.212123557 2 prod.mozaws.net shavar.services.mozilla.com 206
1579703817.212179007 1 shavar.services.mozilla.com shavar.prod.mozaws.net 15
1579703817.212179007 2 shavar.prod.mozaws.net shavar.prod.mozaws.net 8
1579703817.212179007 3 shavar.prod.mozaws.net shavar.prod.mozaws.net 8
1579703817.212179007 4 shavar.prod.mozaws.net shavar.prod.mozaws.net 8
157970381
