1579645067.669351845 1 www.gstatic.com www.gstatic.com 28
1579645067.786420252 1 xnxx.com xnxx.com 122
1579645067.786420252 2 xnxx.com xnxx.com 122
1579645067.786420252 3 xnxx.com xnxx.com 122
1579645067.786420252 4 xnxx.com xnxx.com 122
1579645067.786420252 5 xnxx.com xnxx.com 122
1579645067.786420252 6 xnxx.com xnxx.com 122
1579645067.786420252 7 xnxx.com xnxx.com 122
1579645067.786420252 8 xnxx.com xnxx.com 122
1579645067.839513283 1 accounts.google.com accounts.google.com 112
1579645068.160193826 1 www.xnxx.com xnxx.com 255
1579645068.160193826 2 xnxx.com xnxx.com 255
1579645068.160193826 3 xnxx.com xnxx.com 255
1579645068.160193826 4 xnxx.com xnxx.com 255
1579645068.160193826 5 xnxx.com xnxx.com 255
1579645068.160193826 6 xnxx.com xnxx.com 255
1579645068.160193826 7 xnxx.com xnxx.com 255
1579645068.160193826 8 xnxx.com xnxx.com 255
1579645068.160193826 9 xnxx.com www.xnxx.com 255
1579645068.529167220 1 static-l3.xnxx-cdn.com pxc.static-l3.xvideos.com.fpbns.net 282
1579645068.529167220 2 pxc.static-l3.xvideos.com.fpbns.net pxc.static-l3.xvideos.com.fpbns.net 46
1579645068.529167220 3 pxc.static-l3.xvideos.com.fpbns.net pxc.static-l3.xvideos.com.fpbns.net 46
1579645068.529167220 4 pxc.static-l3.xvideos.com.fpbns.net static-l3.xnxx-cdn.com 46
1579645068.767449805 1 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 2 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 3 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 4 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 5 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 6 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 7 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 8 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645068.767449805 9 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 146
1579645069.384089695 1 img-hw.xnxx-cdn.com cds.g9c9c3d5.hwcdn.net 210
1579645069.384089695 2 cds.g9c9c3d5.hwcdn.net img-hw.xnxx-cdn.com 200
1579645069.415514922 1 img-l3.xnxx-cdn.com img-ssl.xvideos.com.fpbns.net 662
1579645069.415514922 2 img-ssl.xvideos.com.fpbns.net img-ssl.xvideos.com.fpbns.net 289
1579645069.415514922 3 img-ssl.xvideos.com.fpbns.net img-l3.xnxx-cdn.com 289
1579645069.544103411 1 clients1.google.com clients.l.google.com 299
1579645069.544103411 2 clients.l.google.com clients1.google.com 299
1579645069.722914511 1 cdnegc.trafficfactory.biz cs1201.wpc.nucdn.net 269
1579645069.722914511 2 cs1201.wpc.nucdn.net cdnegc.trafficfactory.biz 3599
1579645074.610234774 1 <Root> bhcvtkbwd 86395
1579645074.610321681 1 <Root> hbzowrepw 86392
1579645074.610928515 1 <Root> njnftgpo 86395
1579645077.616271687 1 ssl.gstatic.com ssl.gstatic.com 299
1579645082.761251814 1 update.googleapis.com update.googleapis.com 299
