1579634748.909482554 1 www.gstatic.com www.gstatic.com 299
1579634749.049880781 1 xvideos.com xvideos.com 85
1579634749.049880781 2 xvideos.com xvideos.com 85
1579634749.049880781 3 xvideos.com xvideos.com 85
1579634749.049880781 4 xvideos.com xvideos.com 85
1579634749.049880781 5 xvideos.com xvideos.com 85
1579634749.049880781 6 xvideos.com xvideos.com 85
1579634749.049880781 7 xvideos.com xvideos.com 85
1579634749.049880781 8 xvideos.com xvideos.com 85
1579634749.049880781 9 xvideos.com xvideos.com 85
1579634749.049880781 10 xvideos.com xvideos.com 85
1579634749.103116200 1 accounts.google.com accounts.google.com 299
1579634749.496735148 1 www.xvideos.com xvideos.com 19
1579634749.496735148 2 xvideos.com xvideos.com 52
1579634749.496735148 3 xvideos.com xvideos.com 52
1579634749.496735148 4 xvideos.com xvideos.com 52
1579634749.496735148 5 xvideos.com xvideos.com 52
1579634749.496735148 6 xvideos.com xvideos.com 52
1579634749.496735148 7 xvideos.com xvideos.com 52
1579634749.496735148 8 xvideos.com xvideos.com 52
1579634749.496735148 9 xvideos.com xvideos.com 52
1579634749.496735148 10 xvideos.com xvideos.com 52
1579634749.496735148 11 xvideos.com www.xvideos.com 52
1579634749.817003919 1 static-l3.xvideos-cdn.com pxc.static-l3.xvideos.com.fpbns.net 274
1579634749.817003919 2 pxc.static-l3.xvideos.com.fpbns.net pxc.static-l3.xvideos.com.fpbns.net 171
1579634749.817003919 3 pxc.static-l3.xvideos.com.fpbns.net pxc.static-l3.xvideos.com.fpbns.net 171
1579634749.817003919 4 pxc.static-l3.xvideos.com.fpbns.net static-l3.xvideos-cdn.com 171
1579634750.076691047 1 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 2 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 3 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 4 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 5 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 6 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 7 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 8 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.076691047 9 rpc-php.trafficfactory.biz rpc-php.trafficfactory.biz 169
1579634750.457929327 1 img-l3.xvideos-cdn.com img-ssl.xvideos.com.fpbns.net 1259
1579634750.457929327 2 img-ssl.xvideos.com.fpbns.net img-ssl.xvideos.com.fpbns.net 118
1579634750.457929327 3 img-ssl.xvideos.com.fpbns.net img-ssl.xvideos.com.fpbns.net 118
1579634750.457929327 4 img-ssl.xvideos.com.fpbns.net img-ssl.xvideos.com.fpbns.net 118
1579634750.457929327 5 img-ssl.xvideos.com.fpbns.net img-l3.xvideos-cdn.com 118
1579634750.470838811 1 cdn77-pic.xvideos-cdn.com 1480222913.rsc.cdn77.org 1700
1579634750.470838811 2 1480222913.rsc.cdn77.org cdn77-pic.xvideos-cdn.com 0
1579634750.524952414 1 img-hw.xvideos-cdn.com cds.g9c9c3d5.hwcdn.net 1018
1579634750.524952414 2 cds.g9c9c3d5.hwcdn.net img-hw.xvideos-cdn.com 63
1579634751.416059525 1 cdnegc.trafficfactory.biz cs1201.wpc.nucdn.net 97
1579634751.416059525 2 cs1201.wpc.nucdn.net cdnegc.trafficfactory.biz 3599
1579634751.456217819 1 clients1.google.com clients.l.google.com 299
1579634751.456217819 2 clients.l.google.com clients1.google.com 299
1579634756.329206969 1 update.googleapis.com update.googleapis.com 81
1579634757.691504259 1 <Root> kjicmhqtocmqod 86396
1579634757.693033019 1 <Root> nzuoieruffr 86398
1579634757.694577402 1 <Root> qqlsubmav 86396
1579634758.850295624 1 ssl.gstatic.com ssl.gstatic.com 226
