1579737343.219105328 1 zakon.kz zakon.kz 3533
1579737343.694653019 1 www.zakon.kz www.zakon.kz 3599
1579737344.366057001 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 10367
1579737344.366057001 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 184
1579737344.366909035 1 static.zakon.kz static.zakon.kz 463
1579737344.375356251 1 jscdn.yieldbird.com dqz4hqdktr3sl.cloudfront.net 1916
1579737344.375356251 2 dqz4hqdktr3sl.cloudfront.net dqz4hqdktr3sl.cloudfront.net 59
1579737344.375356251 3 dqz4hqdktr3sl.cloudfront.net dqz4hqdktr3sl.cloudfront.net 59
1579737344.375356251 4 dqz4hqdktr3sl.cloudfront.net dqz4hqdktr3sl.cloudfront.net 59
1579737344.375356251 5 dqz4hqdktr3sl.cloudfront.net jscdn.yieldbird.com 59
1579737344.379290771 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579737344.379290771 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579737344.506170249 1 mc.yandex.ru mc.yandex.ru 13
1579737344.506170249 2 mc.yandex.ru mc.yandex.ru 13
1579737344.506170249 3 mc.yandex.ru mc.yandex.ru 13
1579737344.506170249 4 mc.yandex.ru mc.yandex.ru 13
1579737345.012545028 1 counter.yadro.ru counter.yadro.ru 246
1579737345.012545028 2 counter.yadro.ru counter.yadro.ru 246
1579737345.012545028 3 counter.yadro.ru counter.yadro.ru 246
1579737345.012545028 4 counter.yadro.ru counter.yadro.ru 246
1579737345.164382378 1 an.yandex.ru an.yandex.ru 416
1579737345.164382378 2 an.yandex.ru an.yandex.ru 416
1579737345.164382378 3 an.yandex.ru an.yandex.ru 416
1579737345.164382378 4 an.yandex.ru an.yandex.ru 416
1579737345.164382378 5 an.yandex.ru an.yandex.ru 416
1579737345.394560234 1 c.zero.kz c.zero.kz 163
1579737345.405129620 1 i.ytimg.com i.ytimg.com 299
1579737345.742165657 1 adservice.google.com pagead46.l.doubleclick.net 121
1579737345.742165657 2 pagead46.l.doubleclick.net adservice.google.com 235
1579737345.742355760 1 adservice.google.es pagead46.l.doubleclick.net 215
1579737345.742355760 2 pagead46.l.doubleclick.net adservice.google.es 299
1579737345.887864459 1 mrb.upapi.net mrb.upapi.net 11
1579737345.887864459 2 mrb.upapi.net mrb.upapi.net 11
1579737345.897389233 1 www.google-analytics.com www-google-analytics.l.google.com 21404
1579737345.897389233 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579737345.952394830 1 as-sec.casalemedia.com as-sec.casalemedia.com.edgekey.net 4777
1579737345.952394830 2 as-sec.casalemedia.com.edgekey.net e8037.g.akamaiedge.net 8099
1579737345.952394830 3 e8037.g.akamaiedge.net as-sec.casalemedia.com 8
1579737345.959100333 1 cdn.jsdelivr.net jsdelivr.a7e454.flexbalancer.net 38
1579737345.959100333 2 jsdelivr.a7e454.flexbalancer.net dualstack.f3.shared.global.fastly.net 9
1579737345.959100333 3 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579737345.959100333 4 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579737345.959100333 5 dualstack.f3.shared.global.fastly.net dualstack.f3.shared.global.fastly.net 29
1579737345.959100333 6 dualstack.f3.shared.global.fastly.net cdn.jsdelivr.net 29
1579737345.985782579 1 ib.adnxs.com g.geogslb.com 10424
1579737345.985782579 2 g.geogslb.com ib.anycast.adnxs.com 10799
1579737345.985782579 3 ib.anycast.adnxs.com ib.anycast.adnxs.com 266
1579737345.985782579 4 ib.anycast.adnxs.com ib.anycast.adnxs.com 266
1579737345.985782579 5 ib.anycast.adnxs.com ib.anycast.adnxs.com 266
1579737345.985782579 6 ib.anycast.adnxs.com ib.anycast.adnxs.com 266
1579737345.985782579 7 ib.anycast.adnxs.com ib.anycast.adnxs.com 266
1579737345.985782579 8 ib.anycast.adnxs.com ib.adnxs.com 266
1579737345.999202263 1 fastlane.rubiconproject.com optimized-by.rubiconproject.net.akadns.net 592
1579737345.999202263 2 optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 3 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 4 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 5 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 6 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 7 perf-optimized-by.rubiconproject.net.akadns.net perf-optimized-by.rubiconproject.net.akadns.net 599
1579737345.999202263 8 perf-optimized-by.rubiconproject.net.akadns.net fastlane.rubiconproject.com 599
1579737346.004301693 1 ssp.otm-r.com ssp.otm-r.com 77
1579737346.004301693 2 ssp.otm-r.com ssp.otm-r.com 77
1579737346.007119555 1 adx.adform.net track-eu.adformnet.akadns.net 2201
1579737346.007119555 2 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579737346.007119555 3 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579737346.007119555 4 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579737346.007119555 5 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579737346.007119555 6 track-eu.adformnet.akadns.net track-eu.adformnet.akadns.net 599
1579737346.007119555 7 track-eu.adformnet.akadns.net adx.adform.net 599
1579737346.535072530 1 stats.g.doubleclick.net stats.l.doubleclick.net 21599
1579737346.535072530 2 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579737346.535072530 3 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579737346.535072530 4 stats.l.doubleclick.net stats.l.doubleclick.net 299
1579737346.535072530 5 stats.l.doubleclick.net stats.g.doubleclick.net 299
1579737346.570306603 1 yastatic.net yastatic.net 51
1579737346.570306603 2 yastatic.net yastatic.net 51
1579737346.570306603 3 yastatic.net yastatic.net 51
1579737346.827314476 1 favicon.yandex.net favicon.yandex.net 371
1579737346.827314476 2 favicon.yandex.net favicon.yandex.net 371
1579737346.827314476 3 favicon.yandex.net favicon.yandex.net 371
1579737346.827314476 4 favicon.yandex.net favicon.yandex.net 371
1579737347.004630549 1 tpc.googlesyndication.com tpc.googlesyndication.com 155
1579737347.106734866 1 jstracer.yandex.ru an.yandex.ru 343
1579737347.106734866 2 an.yandex.ru an.yandex.ru 343
1579737347.106734866 3 an.yandex.ru an.yandex.ru 343
1579737347.106734866 4 an.yandex.ru an.yandex.ru 343
1579737347.106734866 5 an.yandex.ru an.yandex.ru 343
1579737347.106734866 6 an.yandex.ru jstracer.yandex.ru 343
1579737347.161739371 1 ad.doubleclick.net dart.l.doubleclick.net 21599
1579737347.161739371 2 dart.l.doubleclick.net ad.doubleclick.net 299
1579737347.165808003 1 static.criteo.net static.par.vip.prod.criteo.net 299
1579737347.165808003 2 static.par.vip.prod.criteo.net static.criteo.net 299
1579737347.216854195 1 www.googletagservices.com pagead46.l.doubleclick.net 21480
