1579796592.166557155 1 www.gstatic.com www.gstatic.com 37
1579796592.343589044 1 accounts.google.com accounts.google.com 299
1579796592.346473693 1 zid.sa zid.sa 29
1579796592.346473693 2 zid.sa zid.sa 29
1579796597.821812088 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579796597.821812088 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579796597.876378517 1 static.hotjar.com static.hotjar.com.c.section.io 3309
1579796597.876378517 2 static.hotjar.com.c.section.io map16-100.s.section.io 202
1579796597.876378517 3 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 4 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 5 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 6 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 7 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 8 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 9 map16-100.s.section.io map16-100.s.section.io 118
1579796597.876378517 10 map16-100.s.section.io static.hotjar.com 118
1579796597.876644853 1 js.hs-scripts.com js.hs-scripts.com 36
1579796597.876644853 2 js.hs-scripts.com js.hs-scripts.com 36
1579796597.876644853 3 js.hs-scripts.com js.hs-scripts.com 36
1579796597.876644853 4 js.hs-scripts.com js.hs-scripts.com 36
1579796597.876644853 5 js.hs-scripts.com js.hs-scripts.com 36
1579796598.504932550 1 script.hotjar.com script.hotjar.com.c.section.io 2716
1579796598.504932550 2 script.hotjar.com.c.section.io map16-100.s.section.io 235
1579796598.504932550 3 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 4 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 5 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 6 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 7 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 8 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 9 map16-100.s.section.io map16-100.s.section.io 119
1579796598.504932550 10 map16-100.s.section.io script.hotjar.com 119
1579796598.707861566 1 translate.googleapis.com translate.googleapis.com 299
1579796598.734444536 1 js.usemessages.com js.usemessages.com 183
1579796598.734444536 2 js.usemessages.com js.usemessages.com 183
1579796598.734444536 3 js.usemessages.com js.usemessages.com 183
1579796598.734444536 4 js.usemessages.com js.usemessages.com 183
1579796598.734444536 5 js.usemessages.com js.usemessages.com 183
1579796598.738964065 1 js.hscollectedforms.net js.hscollectedforms.net 228
1579796598.738964065 2 js.hscollectedforms.net js.hscollectedforms.net 228
1579796598.738964065 3 js.hscollectedforms.net js.hscollectedforms.net 228
1579796598.738964065 4 js.hscollectedforms.net js.hscollectedforms.net 228
1579796598.738964065 5 js.hscollectedforms.net js.hscollectedforms.net 228
1579796598.739287500 1 js.hs-analytics.net js.hs-analytics.net 173
1579796598.739287500 2 js.hs-analytics.net js.hs-analytics.net 173
1579796598.739287500 3 js.hs-analytics.net js.hs-analytics.net 173
1579796598.739287500 4 js.hs-analytics.net js.hs-analytics.net 173
1579796598.739287500 5 js.hs-analytics.net js.hs-analytics.net 173
1579796598.739868910 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579796598.739868910 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579796598.748063551 1 static.ads-twitter.com platform.twitter.map.fastly.net 28
1579796598.748063551 2 platform.twitter.map.fastly.net static.ads-twitter.com 29
1579796598.762928234 1 js.hsadspixel.net js.hsadspixel.net 248
1579796598.762928234 2 js.hsadspixel.net js.hsadspixel.net 248
1579796598.762928234 3 js.hsadspixel.net js.hsadspixel.net 248
1579796598.762928234 4 js.hsadspixel.net js.hsadspixel.net 248
1579796598.762928234 5 js.hsadspixel.net js.hsadspixel.net 248
1579796598.772673146 1 www.googleadservices.com pagead.l.doubleclick.net 299
1579796598.772673146 2 pagead.l.doubleclick.net www.googleadservices.com 299
1579796598.865650812 1 vars.hotjar.com vars.hotjar.com.c.section.io 2092
1579796598.865650812 2 vars.hotjar.com.c.section.io map16-100.s.section.io 32
