1579656493.860515732 1 ubuntu.com _http._tcp.es.archive.ubuntu.com 1138
1579656493.865071014 1 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 2 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 3 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 4 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 5 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 6 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 7 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 8 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 9 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.865071014 10 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 1 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 2 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 3 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 4 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 5 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656493.884597594 6 es.archive.ubuntu.com es.archive.ubuntu.com 42
1579656495.389881354 1 zoom.us zoom.us 59
1579656496.021970788 1 d24cgw3uvb9a9h.cloudfront.net d24cgw3uvb9a9h.cloudfront.net 59
1579656496.021970788 2 d24cgw3uvb9a9h.cloudfront.net d24cgw3uvb9a9h.cloudfront.net 59
1579656496.021970788 3 d24cgw3uvb9a9h.cloudfront.net d24cgw3uvb9a9h.cloudfront.net 59
1579656496.021970788 4 d24cgw3uvb9a9h.cloudfront.net d24cgw3uvb9a9h.cloudfront.net 59
1579656496.178537246 1 api.company-target.com api.company-target.com 59
1579656496.178537246 2 api.company-target.com api.company-target.com 59
1579656496.178537246 3 api.company-target.com api.company-target.com 59
1579656496.178537246 4 api.company-target.com api.company-target.com 59
1579656496.400827647 1 www.google-analytics.com www-google-analytics.l.google.com 21599
1579656496.400827647 2 www-google-analytics.l.google.com www.google-analytics.com 299
1579656496.401732836 1 www.googletagmanager.com www-googletagmanager.l.google.com 21599
1579656496.401732836 2 www-googletagmanager.l.google.com www.googletagmanager.com 299
1579656497.621756279 1 www.youtube.com youtube-ui.l.google.com 21316
1579656497.621756279 2 youtube-ui.l.google.com youtube-ui.l.google.com 16
1579656497.621756279 3 youtube-ui.l.google.com youtube-ui.l.google.com 16
1579656497.621756279 4 youtube-ui.l.google.com youtube-ui.l.google.com 16
1579656497.621756279 5 youtube-ui.l.google.com youtube-ui.l.google.com 16
1579656497.621756279 6 youtube-ui.l.google.com www.youtube.com 16
